Tiêu đề,Đường trước nhà,Số tầng,Số phòng ngủ,Chỗ để xe,Giá,Diện tích,Kích thước,Ngày đăng,Địa chỉ
"AC CẦN NHÀ ĐẤT CỦ CHI GIÁ NGỘP LH EM NHÉ, GIÁ CHỈ TỪ 590TR, SỔ HỒNG RIÊNG",12m,,,Không,"1,25 tỷ",100 m²,"5,5x18m",04/10/2025,"Đường Hồ Văn Tắng, Xã Củ Chi, Hồ Chí Minh"
"(Duy nhất) Bán nhà Khu công viên 42 Nguyễn Minh Hoàng, P12, Tân Bình - 5mx17m - 4 tầng",10m,3.0,6.0,Có,22 tỷ,85 m²,5x16m,03/10/2025,"Đường Nguyễn Minh Hoàng, Phường Bảy Hiền, Hồ Chí Minh"
Chính chủ bán đất biệt thự 2 mặt tiền đường Trần Lựu nối dài - An Khánh Tp.HCM,25m,,,Không,172 tỷ,1230 m²,50x25m,27/09/2025,", , Hồ Chí Minh"
"BÁN GẤP: BÁN NHÀ CHÍNH CHỦ TRONG KHU COMPOUND 99C ĐƯỜNG CỘNG HÒA, QUẬN TÂN BÌNH","4,8m",4.0,4.0,Có,"15,8 tỷ",64 m²,4x16m,24/09/2025,"Đường Cộng Hòa, Phường Tân Sơn Nhất, Hồ Chí Minh"
Chỉ cần nhỉnh 6 tỷ có ngay nhà trung tâm Quận 3 - 50m2 - 5 tầng - còn mới cứng vào ở liền,3m,5.0,4.0,Không,6 tỷ,50 m²,,08/10/2025,"Đường Kỳ Đồng, Phường Nhiêu Lộc, Hồ Chí Minh"
"khu lõi tài chính hiếm có Đường Calmette, P. Nguyễn Thái Bình, Q.1 (Hầm 6 lầu, sân thượng)",6m,8.0,6.0,Có,"29,3 tỷ",78 m²,"4,8x16,2m",08/10/2025,"Đường Calmette, Phường Sài Gòn, Hồ Chí Minh"
"Căn nhà đẹp 56.7m2 ngay Cô Giang, Phú Nhuận. Giá: 4 Tỷ 160. Sổ hồng riêng, hẻm ô tô 4.5m","4,5m",2.0,3.0,Có,"4,16 tỷ",57 m²,,08/10/2025,"Đường Cô Giang, Phường Cầu Kiệu, Hồ Chí Minh"
"Mua ngay căn nhà 51.2m2 ngay Hoàng Văn Thụ, Phú Nhuận. Giá: 3 Tỷ 810. SHR, hẻm thông",5m,2.0,4.0,Có,"3,81 tỷ",51 m²,,08/10/2025,"Đường Hoàng Văn Thụ, Phường Đức Nhuận, Hồ Chí Minh"
"Bán nhà gần CV Gia Định - Đ. Nguyễn Kiệm, Phú Nhuận. Giá: 4 Tỷ 620 / 66m2. Hẻm 5m thông",5m,2.0,4.0,Có,"4,62 tỷ",66 m²,,08/10/2025,"Đường Đào Duy Anh, Phường Đức Nhuận, Hồ Chí Minh"
"Bán nhà đẹp Âu Cơ, Tân Phú, 60m2 giá nhỉnh 5 tỷ 150 triệu, Sổ hồng riêng",6m,1.0,3.0,Có,"5,15 tỷ",60 m²,5x12m,08/10/2025,"Đường Âu Cơ, Phường Tân Sơn Nhì, Hồ Chí Minh"
"Bán nhà Nguyễn Văn Nghi, Quận Gò Vấp, 55m2 chỉ 3 tỷ 490 triệu, sổ hồng riêng",6m,1.0,3.0,Có,"3,49 tỷ",55 m²,5x11m,08/10/2025,"Đường Nguyễn Văn Nghi, Phường Gò Vấp, Hồ Chí Minh"
"Bán nhà đẹp Nguyễn Thái Sơn, Gò Vấp có 3 phòng ngủ, 51m² chỉ 3 Tỷ 650, Sổ hồng riêng",6m,2.0,3.0,Có,"3,65 tỷ",51 m²,"4,5x11,3m",08/10/2025,"Đường Nguyễn Thái Sơn, Phường An Nhơn, Hồ Chí Minh"
"Tài chính 4 tỷ 300 sở hữu nhà Trần Đình Trọng, Tân Phú, 64m2, sổ hồng riêng",6m,2.0,3.0,Có,"4,3 tỷ",64 m²,4x16m,08/10/2025,"Đường Trịnh Đình Trọng, Phường Tân Phú, Hồ Chí Minh"
"Duy nhất căn Nguyễn Văn Công, Gò Vấp, Giá: 3 tỷ 560 triệu / 55m2, sổ hồng riêng",6m,1.0,3.0,Có,"3,56 tỷ",55 m²,5x11m,08/10/2025,"Đường Nguyễn Văn Công, Phường Hạnh Thông, Hồ Chí Minh"
"Nhà bán Trần Quốc Thảo, Quận 3, 48m2 nhỉnh 4 tỷ 190, sổ hồng riêng chính chủ",6m,1.0,3.0,Có,"4,19 tỷ",48 m²,4x12m,08/10/2025,"Đường Trần Quốc Thảo, Phường Xuân Hòa, Hồ Chí Minh"
"PHAN HUY ÍCH TÂN BÌNH ,4×12 ,3 TẦNG ,HXH TRÁNH THÔNG NHÌU HƯỚNG ,CHỈ 5 TỶ 190TR",6m,3.0,3.0,Có,"5,19 tỷ",50 m²,4x12m,08/10/2025,"Đường Phan Huy Ích, Phường Tân Sơn, Hồ Chí Minh"
"Bán căn nhà ngay Phổ Quang, Phú Nhuận. Giá: 3 tỷ 650tr/ 61m2, Sổ hồng riêng",8m,2.0,3.0,Không,"3,65 tỷ",61 m²,,08/10/2025,"Đường Phổ Quang, Phường Đức Nhuận, Hồ Chí Minh"
"Bán gấp căn ngay Tô Ngọc Vân, Gò Vấp. Giá: 2 tỷ 530tr/ 62m2, sổ hồng riêng, 1 trệt 2 lầu","6,5m",2.0,3.0,Không,"2,53 tỷ",62 m²,,08/10/2025,"Đường Tô Ngọc Vân, Phường An Hội Đông, Hồ Chí Minh"
"Bán căn ngay đường Phạm Văn Đồng, Thủ Đức. Giá: 2 tỷ 810tr/ 62m2, sổ hồng riêng","6,5m",1.0,3.0,Không,"2,81 tỷ",62 m²,,08/10/2025,"Đường Phạm Văn Đồng, Phường Hiệp Bình, Hồ Chí Minh"
"BÁN CĂN DƯƠNG QUẢNG HÀM, GÒ VẤP. GIÁ; 3 TỶ 2/60M2, SỔ RIÊNG, ĐƯỜNG Ô TÔ",6m,2.0,3.0,Không,"3,2 tỷ",60 m²,,08/10/2025,"Đường Dương Quảng Hàm, Phường An Nhơn, Hồ Chí Minh"
"""HÀNG HIẾM"" NGUYỄN THÁI BÌNH Q1 5 TẦNG THANG MÁY - SÁT CHỢ BẾN THÀNH GIÁ HỮU NGHỊ 25 TỶ",6m,4.0,6.0,Không,25 tỷ,81 m²,"3,6x22,5m",08/10/2025,"Đường Nguyễn Thái Bình, Phường Sài Gòn, Hồ Chí Minh"
"CHỦ NGỘP CẦN BÁN GẤP VÀI CĂN NHÀ ĐỒNG BỘ SÁT VẠN PHÚC CITY, CÁCH QL13 200M, DT 50M2-66M2",10m,4.0,4.0,Có,"7,9 tỷ",60 m²,4x15m,08/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
"VỊ TRÍ VÀNG ! NHÀ PHỐ MỚI XÂY SỔ RIÊNG NGAY TRỤC QL13, P. HIỆP BÌNH CHÁNH HIỆP BÌNH PHƯỚC",9m,4.0,4.0,Có,"6,8 tỷ",60 m²,"4,15x14,5m",08/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
Bán nhà đang kinh doanh dãy trọ thu nhập 35tr/Thang - mặt tiền đối diện Vạn Phúc City,7m,2.0,16.0,Không,"9,5 tỷ",144 m²,"8,5x17m",08/10/2025,"Đại Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
"Bán nhà MT Tôn Thất Đạm P.Bến Nghé Q1, DT 4x17m CN 67m2, 5 tầng, gần Nguyễn Huệ - 45 tỷ",20m,5.0,6.0,Không,45 tỷ,67 m²,4x17m,08/10/2025,"Đường Tôn Thất Đạm, Phường Sài Gòn, Hồ Chí Minh"
VIP.HOT.Nhà 3 tầng 4x12 Q.7 – Hẻm ô tô 9m – gần Vincom Nam Long- 7ty 6,9m,3.0,4.0,Có,"7,6 tỷ",48 m²,4x12m,08/10/2025,"Đường Huỳnh Tấn Phát, Phường Tân Thuận, Hồ Chí Minh"
BÁN TÒA NHÀ BUILDING MẶT TIỀN 292 PHẠM VĂN HAI – DÒNG TIỀN 350 TRIỆU/THÁNG. 744m2 đất,25m,11.0,30.0,Không,135 tỷ,2600 m²,8x36m,08/10/2025,"Đường Phạm Văn Hai, Phường Tân Sơn Nhất, Hồ Chí Minh"
"Bán nhà MT TÔN THẤT ĐẠM P.Bến Nghé Q1, DT 4x17m CN 67m2, 4 tầng, HĐT 30tr/th, giá 43 tỷ",20m,4.0,6.0,Không,43 tỷ,67 m²,4x17m,08/10/2025,"Đường Tôn Thất Đạm, Phường Sài Gòn, Hồ Chí Minh"
Bán nhà 6x30 đúc 6 tấm mặt tiền đường Nguyễn Thị Sóc,20m,6.0,12.0,Có,"13,5 tỷ",180 m²,6x30m,08/10/2025,"Đường Nguyễn Thị Sóc, Xã Bà Điểm, Hồ Chí Minh"
"Kẹt tiền ! Cần bán gấp căn nhà cấp 4 ở 1/ đường Tân Xuân 6 , Hóc Môn 92m2 SHR giá 910tr",4m,,2.0,Không,910 triệu,92 m²,5x18m,08/10/2025,"Đường Tân Xuân 6, Xã Hóc Môn, Hồ Chí Minh"
Siêu Phẩm Toà Nhà Góc 2 Mặt Tiền Mạc Đỉnh Chi Q.1-10x25m Hầm 10 tầng HĐT 500tr giá 239 tỷ.,30m,11.0,12.0,Không,239 tỷ,204 m²,10x25m,08/10/2025,"Đường Mạc Đĩnh Chi, Phường Tân Định, Hồ Chí Minh"
"NHÀ MỚI 1 TRỆT LỬNG 4 LẦU, GẦN LOTTE MART NGUYỄN THỊ THẬP, QUẬN 7, GIÁ TỐT 5 TỶ 870 TRIỆU",6m,4.0,4.0,Có,"5,87 tỷ",95 m²,5x19m,08/10/2025,"Đường Nguyễn Thị Thập, Phường Tân Hưng, Hồ Chí Minh"
"BÁN NHÀ HẺM XE HƠI ĐƯỜNG TRẦN NÃO, QUẬN 2, GIÁ 6 TỶ 310 TRIỆU (5,2mx18m) GẦN CÔNG VIÊN SG",7m,3.0,4.0,Có,"6,31 tỷ",93 m²,"5,2x18m",08/10/2025,"Đường Trần Não, Phường An Khánh, Hồ Chí Minh"
"BÁN NHÀ CHO THUÊ 35 TRIỆU/THÁNG PHAN ĐÌNH PHÙNG, PHÚ NHUẬN, GIÁ 6,58 TỶ/72M2 (4,8M x 15M)",7m,3.0,4.0,Có,"6,58 tỷ",72 m²,"4,8x15m",08/10/2025,"Đường Phan Đình Phùng, Phường Cầu Kiệu, Hồ Chí Minh"
"Bán nhà MT TÔN THẤT ĐẠM Q1, DT 4x18m CN 70m2, 3 tầng, trung tâm Nguyễn Huệ, Giá 50 tỷ",20m,3.0,6.0,Không,50 tỷ,70 m²,4x18m,08/10/2025,"Đường Tôn Thất Đạm, Phường Sài Gòn, Hồ Chí Minh"
BÁN NHÀ -KHU CHỢ TÂN HƯƠNG- HXH - DT 60M2- 3 TẦNG- HC ĐỦ- GIÁ CHỈ 6.2TY,5m,4.0,8.0,Có,"6,2 tỷ",60 m²,5x20m,08/10/2025,"Đường Văn Cao, Phường Phú Thạnh, Hồ Chí Minh"
Cần bán gấp căn nhà 55m2 ở Bà Điểm - Hóc Môn giá 765 triệu.,6m,,2.0,Không,765 triệu,55 m²,4x14m,08/10/2025,", Xã Bà Điểm, Hồ Chí Minh"
"Bán nhà MT TÔN THẤT ĐẠM P.Bến Nghé Q1, DT 4x12m CN 42m2, gần Hàm Nghi, giá 31 tỷ TL",20m,4.0,6.0,Không,31 tỷ,42 m²,4x12m,08/10/2025,"Đường Tôn Thất Đạm, Phường Sài Gòn, Hồ Chí Minh"
"💥 Sắp đi nước ngoài bán nhà đường Thân Nhân Trung - Tân Bình / 63,6m2 / Giá 3 Tỷ 420 💥",6m,2.0,3.0,Có,"3,42 tỷ",63 m²,,08/10/2025,"Đường Thân Nhân Trung, Phường Tân Bình, Hồ Chí Minh"
☀️ Còn duy nhất một căn tại đường Phổ Quang - Quận Tân Bình (3 Tầng) - Giá bán: 3 Tỷ 640,6m,2.0,3.0,Có,"3,64 tỷ",67 m²,,08/10/2025,"Đường Phổ Quang, Phường Tân Sơn Hòa, Hồ Chí Minh"
"Nhà Sổ Hồng Riêng ‼️ Đường Phạm Văn Đồng - Thủ Đức / 64,6m2 / Giá 3 Tỷ 300 (Có Nội Thất)",6m,2.0,3.0,Có,"3,3 tỷ",64 m²,,08/10/2025,"Đường Phạm Văn Đồng, Phường Hiệp Bình, Hồ Chí Minh"
"✳️ Sắp đi nước ngoài bán nhà đường Võ Văn Ngân - Thủ Đức / 70,4m2 / Giá 3 Tỷ 150",6m,2.0,3.0,Có,"3,15 tỷ",70 m²,,08/10/2025,"Đường Võ Văn Ngân, Phường Thủ Đức, Hồ Chí Minh"
"✅ Anh chị tài chính 3 tỷ mua ngay nhà Đường Số 5 - Thủ Đức / 65,2m2 / Giá 3 Tỷ 090",6m,2.0,3.0,Có,"3,09 tỷ",65 m²,,08/10/2025,"Đường Số 5, Phường Hiệp Bình, Hồ Chí Minh"
BÁN NHÀ MẶT TIỀN NGAY TRUNG TÂM QUẬN 1 – LÝ TỰ TRỌNG - DT: 76M2 - GIÁ 78TỶ,20m,2.0,5.0,Có,78 tỷ,76 m²,4x20m,08/10/2025,"Đường Lý Tự Trọng, Phường Bến Thành, Hồ Chí Minh"
"🏠 BÁN NHÀ MẶT ĐẤT 5 TẦNG – KHU NHÀ Ở THƯƠNG MẠI 319 LÝ THƯỜNG KIỆT, Q.11",,5.0,,Không,"23,5 tỷ",72 m²,,08/10/2025,"Đường Lý Thường Kiệt, Phường Phú Thọ, Hồ Chí Minh"
"Bán đất MT Lý Nhơn, xã Lý Nhơn, Cần Giờ: 88.170m2 , giá: 183tỷ",15m,,,Không,183 tỷ,88170 m²,,08/10/2025,"Đường Lý Nhơn, Xã An Thới Đông, Hồ Chí Minh"
"Bán nhà 5 tầng hẻm oto, PHẠM VĂN HAI - TÂN BÌNH GIÁ 5tỷ080/64m2 SỔ SẴN",6m,5.0,4.0,Có,"5,08 tỷ",64 m²,4x16m,08/10/2025,"Đường Phạm Văn Hai, Phường Tân Sơn Hòa, Hồ Chí Minh"
27CHDV✅DÒNG TIỀN KHỦNg💥HXH 9TẦNG💥1400m–DÒNG TIỀN 240TR/THÁNG–ĐIỆN BIÊN PHỦ P2 Bình Thạnh,10m,9.0,27.0,Có,46 tỷ,1400 m²,"4,5x35m",08/10/2025,"Đường Điện Biên Phủ, Phường Gia Định, Hồ Chí Minh"
Bán đất (5x20) tặng dãy trọ ngay 1 xẹc Nguyễn Thị Ngâu Hóc Môn giá 900 triệu,8m,1.0,6.0,Không,900 triệu,169 m²,6x27m,08/10/2025,"Đường Nguyễn Thị Ngâu, Xã Đông Thạnh, Hồ Chí Minh"
"Biệt Thự Hẻm Xe Hơi ,Phú Nhuân ,190m2 ,Giá chỉ 25,9 ty",8m,5.0,4.0,Có,26 tỷ,188 m²,9x20m,08/10/2025,"Đường Nguyễn Kiệm, Phường Đức Nhuận, Hồ Chí Minh"
BÁN NHÀ KINH DOANH CHO THUÊ CỰC TỐT NGUYỄN ĐÌNH CHÍNH - PHÚ NHUẬN GIÁ 4tỷ530/ 102m2,8m,3.0,4.0,Không,"4,53 tỷ",102 m²,"4,8x21,5m",08/10/2025,"Đường Nguyễn Đình Chính, Phường Phú Nhuận, Hồ Chí Minh"
TOÀ CHDV CAO CẤP KHU K300 - 9 TẦNG - GẦN GA T3 - NGANG KHỦNG 11M - 80 PHÒNG - THU 400TR/TH,10m,9.0,80.0,Có,"64,9 tỷ",222 m²,11x22m,08/10/2025,"Đường Bình Giã, Phường Tân Bình, Hồ Chí Minh"
Bán nhà Quận 12 3 tỷ 190 triệu. Đường Lê Văn Khương. 2 Tầng. Đường 8m. Sổ hồng riêng 40m2,4m,2.0,2.0,Không,"3,19 tỷ",80 m²,"3,1x13m",08/10/2025,"Đường Lê Văn Khương, Phường Tân Thới Hiệp, Hồ Chí Minh"
18 BiG Nguyển Thị Minh Khai Q1 ( 7.2 * 10 ) 3 Lầu 32 Tỷ,8m,4.0,6.0,Có,32 tỷ,72 m²,"7,2x10m",08/10/2025,"Đường Nguyễn Thị Minh Khai, Phường Sài Gòn, Hồ Chí Minh"
RA HÀNG NHÀ ĐẸP ĐANG CHO THUÊ CHDV PHAN XÍCH LONG. GIÁ 7TỶ530/70M2,6m,6.0,8.0,Có,"7,53 tỷ",70 m²,5x14m,08/10/2025,"Đường Phan Xích Long, Phường Cầu Kiệu, Hồ Chí Minh"
Đất mặt tiền nhựa gần chợ Tân Phú Trung Củ Chi 140m2 giá chỉ 1 tỷ 250tr,10m,,,Không,"1,25 tỷ",141 m²,5x28m,08/10/2025,"Đường số 79, Xã Củ Chi, Hồ Chí Minh"
"🏢 CƠ HỘI ĐẦU TƯ KHÔNG THỂ TỐT HƠN, BÁN TÒA CĂN HỘ DỊCH VỤ – VỊ TRÍ VÀNG QUẬN 2, TP.",5m,5.0,21.0,Không,"16,999 tỷ",172 m²,"8,4x30m",08/10/2025,"Đường Nguyễn Thị Định, Phường Cát Lái, Hồ Chí Minh"
"Bán nhà hẻm xe hơi 1 trục thẳng sát MT Trường Chinh, P14 Tân Bình, gần Etown, 72m2 3 tầng",6m,3.0,5.0,Có,"10,5 tỷ",72 m²,4x18m,08/10/2025,"Đường Trường Chinh, Phường Tân Bình, Hồ Chí Minh"
"🏡 BÁN NHÀ LẦU ĐẸP – NGUYỄN ẢNH THỦ, CHỢ HIỆP THÀNH – GIÁ CHỈ 4.1 TỶ",4m,2.0,2.0,Không,"4,1 tỷ",41 m²,4x12m,08/10/2025,"Đường Hiệp Thành 13, Phường Tân Thới Hiệp, Hồ Chí Minh"
"Nhà HXH 7m Hai Bà Trưng Q1 DT: 15x15, 4 tầng, ngay chợ Tân Định giá 29,5 tỷ - Khu VIP",7m,5.0,6.0,Không,"29,5 tỷ",300 m²,15x15m,08/10/2025,"Đường Hai Bà Trưng, Phường Tân Định, Hồ Chí Minh"
"Siêu phẩm mặt tiền Huỳnh Văn Bánh, Phú Nhuận | Gần Lê Văn Sỹ – 10x15m – Giá chỉ 51 tỷ",30m,3.0,3.0,Không,51 tỷ,300 m²,10x15m,08/10/2025,"Đường Huỳnh Văn Bánh, Phường Phú Nhuận, Hồ Chí Minh"
"Tòa nhà 10 tầng căn góc 3 mặt tiền số 53 Võ Văn Tần,P.6, Q3. Ngay Dinh Độc Lập- Bến Thành",25m,10.0,10.0,Không,280 tỷ,2000 m²,8x30m,08/10/2025,"Đường Võ Văn Tần, Phường Xuân Hòa, Hồ Chí Minh"
"Mặt tiền Calmette,Quận 1. 8x20m. 5 tầng. Vị trí đẹp nhất- Đối diện chợ Bến Thành-Giá 127tỷ",30m,5.0,5.0,Không,127 tỷ,400 m²,8x20m,08/10/2025,"Đường Calmette, Phường Sài Gòn, Hồ Chí Minh"
"NHÀ MT HOA ĐÀO – P.2, QUẬN PHÚ NHUẬN -DT: 4x18. 5 tầng vào ở ngay. Giá: 13,5 tỷ",8m,5.0,4.0,Không,"13,5 tỷ",250 m²,4x18m,08/10/2025,"Đường Hoa Đào, Phường Cầu Kiệu, Hồ Chí Minh"
"Nhà đẹp Mai Thị Lựu, Đa Kao Q1 | 9.2x15m. DTCN: 132 m2 – 3 lầu thang máy – Giá chỉ 38 tỷ",7m,4.0,5.0,Không,"37,9 tỷ",500 m²,"9,5x15m",08/10/2025,"Đường Mai Thị Lựu, Phường Tân Định, Hồ Chí Minh"
Góc 2 mặt tiền Cao Thắng – Điện Biên Phủ Q3 | Căn góc siêu đẹp – Giá chỉ 35 tỷ,30m,3.0,3.0,Không,35 tỷ,300 m²,7x11m,08/10/2025,"Đường Cao Thắng, Phường Bàn Cờ, Hồ Chí Minh"
"CÔ TƯ BÁN NHÀ PHẠM ĐÌNH TOÁI 60M2 - 5TỶ810, ĐANG CHO THUÊ 22TRIỆU",8m,3.0,4.0,Có,"5,81 tỷ",60 m²,5x12m,08/10/2025,"Đường Phạm Đình Toái, Phường Xuân Hòa, Hồ Chí Minh"
Bán Nhà 5 Tầng 5 x 18 Tại Phước Kiển SỔ Riêng đường 8m KDC Hiện Hữu Ngay Làng ĐH Khu B,8m,5.0,5.0,Có,"10,6 tỷ",289 m²,5x18m,08/10/2025,"Đường Lê Văn Lương, Xã Nhà Bè, Hồ Chí Minh"
"BÁN NHÀ 4 TẦNG, NGANG 8M - ĐƯỜNG 5M THÔNG - TAM HÀ, THỦ ĐỨC",5m,4.0,3.0,Có,"8,2 tỷ",80 m²,8x10m,08/10/2025,"Đường Tam Hà, Phường Tam Bình, Hồ Chí Minh"
"NHÀ 3 TẦNG MẶT TIỀN KHU CƯ XÁ ĐIỆN LỰC, TRƯỜNG THỌ THỦ ĐỨC",8m,3.0,5.0,Có,"8,99 tỷ",115 m²,"9,3x13m",08/10/2025,"Đường Số 2, Phường Thủ Đức, Hồ Chí Minh"
"GẤP BÁN GIẢM SÂU CHỈ CÒN 6,27 TỶ NHÀ ĐƯỜNG KỲ ĐỒNG, QUẬN 3 . DT: 65,2M2",5m,2.0,4.0,Không,"6,27 tỷ",65 m²,"4,35x15m",08/10/2025,"Đường Kỳ Đồng, Phường Nhiêu Lộc, Hồ Chí Minh"
"Nhà mới 3.5 tầng – đường xe tải – sát mặt tiền đường số 10, hiệp bình phước",7m,4.0,4.0,Có,"6,9 tỷ",60 m²,"4,2x14m",08/10/2025,"Đường Số 10, Phường Hiệp Bình, Hồ Chí Minh"
"Còn duy nhất 1 căn tại khu đồng bộ 26 căn, giá tốt cần bán nhanh",7m,4.0,4.0,Có,"6,999 tỷ",56 m²,,08/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
"Bán nhà đường Lê Lợi, Gò Vấp, Giá: 3 tỷ 386 triệu / 55m2, sổ hồng riêng",6m,2.0,3.0,Có,"3,386 tỷ",55 m²,5x11m,08/10/2025,"Đường Lê Lợi, Phường Hạnh Thông, Hồ Chí Minh"
"Bán nhà đẹp Nguyễn Thái Sơn, Gò Vấp có 3 phòng ngủ, 51m² chỉ 3 Tỷ 650, Sổ hồng riêng",6m,1.0,3.0,Có,"3,65 tỷ",51 m²,"4,5x11,3m",08/10/2025,"Đường Nguyễn Thái Sơn, Phường An Nhơn, Hồ Chí Minh"
"Bán gấp lô đất 190m2 đường NHỰA 12 mét, Tân Thông Hội Củ Chi, gần trường cấp 2, GIÁ 650tr",12m,,,Không,650 triệu,190 m²,6x32m,08/10/2025,"Đường Trần Tử Bình, Xã Củ Chi, Hồ Chí Minh"
"CHÍNH CHỦ BÁN VILLA ĐƯỜNG 13, PHƯỜNG BÌNH TRƯNG TÂY, QUẬN 2",8m,1.0,3.0,Có,53 tỷ,500 m²,20x25m,08/10/2025,"Đường số 13, Phường Bình Trưng, Hồ Chí Minh"
"Căn hộ CitiGrand duplex trần cao 5,4m-Giá 3,9tỷ/căn,ký HĐMB 10%,khách vay miễn LS 0% 24th",16m,22.0,4.0,Có,"3,9 tỷ",80 m²,,07/10/2025,", , Hồ Chí Minh"
"Bán tòa 21 CHDV Cao cấp HXH Nguyễn Thị Định. DT: 172m2 đất, 5 Tầng, HĐT 80tr - 17 tỷ TL",6m,5.0,21.0,Có,17 tỷ,172 m²,"4,5x30m",07/10/2025,"Đường Nguyễn Thị Định, Phường Bình Trưng, Hồ Chí Minh"
"KẸT TIỀN BÁN GẤP NHÀ THIÊN PHƯỚC,TÂN BÌNH-GIÁ:4,67TỶ/80,5m2(7x11,5m).NHÀ 4 TẦNG KIÊN CỐ",8m,3.0,4.0,Không,"4,67 tỷ",80 m²,"7x11,5m",07/10/2025,"Đường Thiên Phước, Phường Tân Hòa, Hồ Chí Minh"
