Tiêu đề,Giá,Diện tích,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số WC,Chỗ để xe,Loại BĐS,Địa chỉ,Ngày đăng
Chỉ 22tỷ500 có ngay căn biệt thự kdc đại phúc dt 240m2 hầm trệt 2 lầu áp mái,22.5 Tỷ,240 m²,10m,16m,2,N/A,5,Không,N/A,Đại Phúc Green Villas,10/10/2025
Bán đất kdc đại phúc giá tốt nhất chỉ 68tr 100m2 đường phạm hùng kế bên quận 7 8,68 Triệu,100 m²,5m,5m,N/A,N/A,N/A,Không,ĐẤT,PhạM HùNg (Chánh Hưng Nối Dài),10/10/2025
Bán nền biệt thự khu 6b t30 đg phạm hùng nd lô e6 (10x20m) sổ đỏ giá 60tr m,12 Tỷ,200 m²,10m,8m,N/A,N/A,N/A,Không,Đất Nền,PhạM HùNg (Chánh Hưng Nối Dài),09/10/2025
"Sổ sẳn 1,960 tỷ 2pn_view cv gia định, nhà mới dọn ở ngay tặng nội thất đẹp",1.96 Tỷ,49 m²,N/A,N/A,N/A,N/A,2,Không,Căn hộ,Quận Gò Vấp,02/10/2025
Gần cv gia định 2tỷ 58 m2 tặng nội thất như hình vay được 70% 0799 303 195 ngọc,2 Tỷ,50 m²,N/A,N/A,N/A,N/A,2,Không,Căn Hộ Chung Cư,Quận Bình Thạnh,02/10/2025
"Căn hộ gần sân bay 1tỷ920, 2pn có sổ vay 70% lh 0799 303 195",1920 Tỷ,48 m²,N/A,N/A,N/A,2,2,Không,CĂN HỘ,Quận Bình Thạnh,02/10/2025
"Nhà sổ hồng riêng, sát bệnh viện nhi đồng 3 - bình chánh",810 Triệu,80 m²,4m,6m,1,3,4,Không,N/A,Huyện Bình Chánh,18/09/2025
"Hiếm, biệt thự tứ lập gai khang điền, view sông, sẵn sổ, giá đợt 1 cực tốt 252m2",250 Triệu,252 m²,14m,11m,N/A,N/A,5,4 Chỗ để ôtô,N/A,Thành Phố Thủ Đức,11/10/2025
Hạ giá luôn 10 tỷ. bán căn nhà mt đường hoa pn 8x18 hầm 6l st giá có 50 tỷ,50 Tỷ,130 m²,8m,12m,6,N/A,N/A,Không,Nhà Mặt Phố,Quận Phú Nhuận,11/10/2025
"Nhà 4 tầng, ông ích khiêm, q11, hẻm 5 - 8m, ôtô đỗ cửa, 46m2, gần đầm sen, 7.8ty",7.8 Tỷ,46 m²,3.9m,5m,N/A,N/A,3,Không,N/A,Ông Ích Khiêm,11/10/2025
"Bán nhà 3 tầng mới đẹp  đường 980a phú hữu, quận 9  cách nguyễn duy trinh 20m",62 Tỷ,61 m²,5m,8m,3,N/A,3,Không,Nhà Mặt Phố,Thành Phố Thủ Đức,11/10/2025
"Căn hộ cc hoàng hoa thám, tân bình, gần chợ hht, 54m2, thu nhập 7tr/th. 2.35 ty",2.35 Tỷ,54 m²,5.4m,10m,N/A,N/A,2,Không,CĂN HỘ,Hoàng Hoa Thám,11/10/2025
Nhà 3 tầng dt 44m² chỉ 4 58 tỷ trương phước phan bình tân,4.58 Tỷ,44 m²,4m,5m,N/A,N/A,2,Không,N/A,Trương Phước Phan,11/10/2025
Bán nhà 2 tầng 60 mét vuông sát mặt tiền an dương vương q5 nhỉnh 13 tỷ,13.3 Tỷ,60 m²,4.3m,3m,N/A,N/A,4,Không,N/A,An Dương Vương,11/10/2025
Bán nhà 4 tầng 3 pn vào ở ngay nguyễn biểu q5,6.38 Tỷ,27 m²,3m,4m,N/A,3,3,Không,N/A,Nguyễn Biểu,11/10/2025
Nhà mặt tiền 4 tầng mới tinh dt 73 8 m² đường rộng 16m q6,11.2 Tỷ,73.8 m²,4m,16m,4,N/A,4,1 Chỗ để ôtô,NHÀ MẶT TIỀN,Quận 6,11/10/2025
Nhà 3 tầng hxh 54m2 chính chủ chưa qua đầu tư 9 5 tỷ hoàng văn thụ tân bình,9.5 Tỷ,54 m²,4.1m,4m,3,N/A,2,1 Chỗ để ôtô,N/A,Hoàng Văn Thụ,11/10/2025
"Bán nhà mặt tiền đường huyền quang, quận 1 ngang 4m dài 15m 3 tầng hoàn công đủ",18.5 Tỷ,60 m²,4m,8m,3,N/A,4,2 Chỗ để ôtô,NHÀ MẶT TIỀN,Huyền Quang,11/10/2025
Bán nhà mặt tiền bùi thị xuân tân bình ngang 5m5 dài 20m hoàn công đủ,11.4 Tỷ,88 m²,6m,12m,N/A,N/A,3,4 Chỗ để ôtô,NHÀ MẶT TIỀN,Bùi Thị Xuân,11/10/2025
"Bán nhà phú nhuận nguyễn thượng hiền ngang 4,8m dài 10m 3 tấm btct hoàn công đủ",5.6 Tỷ,46 m²,5m,2.5m,N/A,N/A,3,Không,N/A,Nguyễn Thượng Hiền,11/10/2025
"Bán nhà phường 3, quận gò vấp đường số 7 ngang 4m dài 8m hẻm rộng",3.3 Tỷ,32 m²,4m,3m,N/A,N/A,1,Không,Đất,Phạm Văn Đồng,11/10/2025
"Nhà bán quận bình thạnh dưới 5,5 tỷ xô viết nghệ tình ngang 5m dài 12m.",5.5 Tỷ,60 m²,5m,2.5m,N/A,N/A,1,Không,N/A,Xô Viết Nghệ Tĩnh,11/10/2025
Nhà mặt tiền gò vấp đường số 6 ngang 4m dài 11m shcn 44m2 trệt lầu hc đủ,5.2 Tỷ,44 m²,4m,6m,N/A,N/A,2,2 Chỗ để ôtô,NHÀ MẶT TIỀN,Dương Quảng Hàm,11/10/2025
Nhà 4 tầng đường rộng 10m dt 4m x 17m lê văn quới bình tân,7.8 Tỷ,69 m²,4m,10m,N/A,N/A,5,1 Chỗ để ôtô,N/A,Lê Văn Quới,11/10/2025
Nhà 5 tầng 70m² ngang 5m xe hơi ngủ trong nhà âu cơ tân bình 10 5 tỷ,10.5 Tỷ,69.26 m²,5m,5m,5,N/A,4,1 Chỗ để ôtô,N/A,Âu Cơ,11/10/2025
Nhà 4 tầng hẻm nhựa 7m dt 111m² tô hiến thành quân 10,24.9 Tỷ,111 m²,5.2m,7m,4,N/A,9,2 Chỗ để ôtô,N/A,Tô Hiến Thành,11/10/2025
Giảm sốc 1 2 tỷ bán biệt thự 3 tầng 100m2 bhh bình tân,12.5 Tỷ,100 m²,7.5m,7m,3,N/A,4,Không,N/A,Quận Bình Tân,11/10/2025
Nhà 3 tầng xây dựng chắc chắn mua ở ngay võ văn kiệt q5,5.96 Tỷ,24 m²,3.1m,2.5m,N/A,N/A,3,Không,N/A,Quận 5,11/10/2025
Nhà 5 tầng ngang 5m dt 50m² hxh chiến lược bình tân,282.5 Triệu,50 m²,5m,5m,4,N/A,3,1 Chỗ để ôtô,N/A,Chiến Lược,11/10/2025
Nhà 4 tầng dt 40m² 4pn giá chỉ hơn 5 tỷ ni sư huỳnh liên tân bình,5.75 Tỷ,40 m²,4m,6m,4,4,3,Không,N/A,Ni Sư Huỳnh Liên,11/10/2025
Bán nhà 2 lầu 2/ngắn đường hiệp thành 17 p.tân thới hiệp quận 12 tp.hcm,1.98 Tỷ,88 m²,3.5m,3m,2,4,3,Không,N/A,Hiệp Thành,11/10/2025
Bán nhà 2 lầu đường lê văn khương p hiệp thành quận 12,4.95 Tỷ,142 m²,4.2m,5m,2,4,3,Không,Nhà Mặt Phố,Lê Văn Khương,11/10/2025
Bán nhà 1 lầu 2/ngắn trương thị hoa p.tân thới hiệp quận 12 tphcm.,3.08 Tỷ,70 m²,3.5m,3m,1,2,2,Không,N/A,Tân Thới Hiệp,11/10/2025
Bán nhà 1 lầu 1/ngắn đường thới an 06 p.thới an tp.hcm,1.69 Tỷ,66 m²,3m,3.4m,1,2,2,2 Chỗ để ôtô,N/A,Thới An,11/10/2025
Bán nhà 3 lầu 1/thới an 05 p.thới an quận 12,5.49 Tỷ,165 m²,4.2m,5m,3,4,3,Không,N/A,Thới An,11/10/2025
Bán nhà 1 lầu mt đường nhánh tch34 p.trung mỹ tây tp.hcm.,3.5 Tỷ,85 m²,4m,5m,1,2,2,Không,N/A,Tân Chánh Hiệp,11/10/2025
Bán nhà đúc lửng 2 ngắn đường tân chánh hiệp 26 p trung mỹ tây tp hcm,2.29 Tỷ,95 m²,5m,3m,N/A,N/A,2,2 Chỗ để ôtô,N/A,Tân Thới Hiệp,11/10/2025
Bán nhà mt đường nguyễn thị kiểu p.tân thới hiệp quận 12 tp.hcm,9.39 Tỷ,145 m²,4m,12m,N/A,3,2,Không,Nhà Mặt Phố,Tân Thới Hiệp,11/10/2025
Bán nhà shr 1 lầu đường trần thị cờ p.thới an quận 12 tp.hcm,2.79 Tỷ,42 m²,4.5m,4m,1,2,2,1 Chỗ để ôtô,N/A,Thới An,11/10/2025
Bán nhà shr 1 lầu 1/đường lê văn khương p.thới an quận 12 tp.hcm,2.58 Tỷ,48 m²,3m,5m,1,2,2,Không,N/A,Lê Văn Khương,11/10/2025
Bán nhà shr 1 ngắn đường hiệp thành 07 p tân thới hiệp quận 12,4.58 Tỷ,178 m²,3.7m,5m,2,5,4,1 Chỗ để ôtô,N/A,Hiệp Thành,11/10/2025
Bán nhà 3 lầu đường hiệp thành 35 vào 1/ p.hiệp thành quận 12.,6.5 Tỷ,160 m²,4m,5m,3,N/A,3,Không,N/A,Hiệp Thành,11/10/2025
Bán nhà 2 lầu mt đường trần thị cờ p.thới an quận 12.,8.3 Tỷ,145 m²,4m,12m,2,3,3,Không,Nhà Mặt Phố,Thới An,11/10/2025
Bán nhà 2 lầu shr đường lê thị riêng p.thới an quận 12 tp.hcm,6.25 Tỷ,259 m²,4m,5m,2,3,3,Không,N/A,Lê Thị Riêng,11/10/2025
Bán nhà 1 lầu 1 đường 157 hà duy phiên xã bình mỹ củ chi tp hcm,1.88 Tỷ,120 m²,4m,5m,1,3,2,Không,đất,Bình Mỹ Center,11/10/2025
Bán nhà cấp 4 mt đường nguyễn ảnh thủ p.tân thới hiệp quận 12.,10.6 Tỷ,80 m²,4m,12m,N/A,2,1,Không,Nhà Mặt Phố,Nguyễn Ảnh Thủ,11/10/2025
Bán nhà kk 1 lầu 2 mt hẻm đường tth21 p.tân thới hiệp quận 12 tp.hcm.,2.27 Tỷ,78 m²,3.5m,5m,1,2,2,1 Chỗ để ôtô,N/A,Tân Thới Hiệp,11/10/2025
Bán nhà 1 lầu đường tth07 p.tth quận 12,1.48 Tỷ,52 m²,3m,2.5m,1,2,2,Không,N/A,Tân Thới Hiệp,11/10/2025
Bán nhà shr 1 lầu đường nguyễn ảnh thủ p.hiệp thành quận 12.,3.3 Tỷ,80 m²,4m,5m,1,2,2,Không,N/A,Hiệp Thành,11/10/2025
Bán nhà shc 1 lầu 1/ngắn đường thới an 13 p.thới an quận 12,1.59 Tỷ,52 m²,5m,5m,1,2,2,Không,N/A,Thới An,11/10/2025
Bán nhà 1 lầu 1 đường 157 hà duy phiên xã bình mỹ củ chi tp hcm,1.88 Tỷ,120 m²,4m,5m,1,3,2,Không,đất,Bình Mỹ Center,11/10/2025
"Nhà 4 tầng, mặt tiền ni sư huỳnh liên, bảy hiền, 70m2, nhỉnh 15 tỷ tl",15.2 Tỷ,70 m²,4m,12m,4,N/A,5,1 Chỗ để ôtô,Nhà Mặt Phố,Ni Sư Huỳnh Liên,11/10/2025
"Nhà 4 tầng, hẻm xe hơi, tân hải, tân bình, 5.3x16m, 100m2, chỉ 12.x tỷ tl",12.8 Tỷ,100 m²,5.3m,5m,4,N/A,5,1 Chỗ để ôtô,N/A,Tân Hải,11/10/2025
"Bán nhà mặt tiền kinh doanh  an khánh, tp. thủ đức  có hđ thuê 70 triệu/tháng",29 Tỷ,56 m²,4m,10m,5,N/A,5,1 Chỗ để ôtô,NHÀ MẶT TIỀN,Thành Phố Thủ Đức,11/10/2025
Bán nhà 2 tầng dt 49m² đường tân hóa p phú lâm nhỉnh 4 tỷ,4.65 Tỷ,48.9 m²,4.2m,3m,N/A,N/A,2,Không,N/A,Tân Hoá,11/10/2025
Bán nhà mặt tiền cấp 4 dt 100 mét vuông bình hưng hòa a bình tân,6.5 Tỷ,100 m²,4m,6m,N/A,N/A,2,1 Chỗ để ôtô,NHÀ MẶT TIỀN,Quận Bình Tân,11/10/2025
"Bán nhà hẻm vip nguyễn công trứ,p.nguyễn thái bình,quận 1 dt: 5 x 21cn:100m2",25 Tỷ,100 m²,5m,10m,3,N/A,3,1 Chỗ để ôtô,Nhà Mặt Phố,Quận 1,11/10/2025
Nhà đẹp 5 tầng xây mới 100 tặng nội thất cao cấp mua vào ở ngay hương lộ 2,7 Tỷ,66.8 m²,4m,7m,5,N/A,5,1 Chỗ để ôtô,N/A,Hương Lộ 2,11/10/2025
Bán nhà 2 tầng dt 64m² hxh hương lộ 2 bình tân giá rẻ nhất khu vực,5.28 Tỷ,64 m²,4m,8m,2,N/A,3,Không,N/A,Hương Lộ 2,11/10/2025
Nhà 5 tầng mới tinh mua vào khai thác ngay mặt tiền nhật tảo q 10 chỉ 10 5 tỷ,10.5 Tỷ,30 m²,3m,12m,5,N/A,3,1 Chỗ để ôtô,Nhà Mặt Phố,Nhật Tảo,11/10/2025
Bán nhà 3 tầng 95m2 ngang 5m hiếm gặp hương lộ 2 bình tân,7.1 Tỷ,95 m²,5m,5m,N/A,N/A,3,Không,N/A,Hương Lộ 2,11/10/2025
"🔥nhà rẻ nhất khu (4x17m) mà chỉ nhỉnh 4 đồng - thạnh xuân 40, thạnh xuân, q 12",4.25 Tỷ,66 m²,4m,5m,N/A,3,2,Không,N/A,Quận 12,11/10/2025
"Bán gấp nhà mặt tiền đường an khánh, quận 2  thu nhập 110 triệu/tháng giá 65 tỷ",65 Tỷ,157 m²,7m,20m,3,N/A,5,Không,NHÀ MẶT TIỀN,Thành Phố Thủ Đức,11/10/2025
"Tòa nhà văn phòng 240m², 1 hầm 6 tầng   st, góc 2mt đường 25m  tân phú, giá 65",65 Tỷ,240 m²,12m,20m,N/A,N/A,6,Không,Nhà Mặt Phố,Quận Tân Phú,11/10/2025
Chủ ngộp bán gấp căn hộ 2pn 2wc 77m2 sổ riêng có nt ngay cầu vượt gò dưa giá tốt,1.2 Tỷ,77 m²,N/A,N/A,N/A,2,2,Không,CĂN HỘ,Thành Phố Thủ Đức,11/10/2025
"Bán lô đất xã diên an, diên khánh, khánh hoà, đường chợ chiều",1.8 Tỷ,63 m²,N/A,N/A,N/A,N/A,N/A,Không,ĐẤT,Quận 7,11/10/2025
"Bán lô đất trung tâm xã suối tiên, huyện diên khánh, tỉnh khánh hoà",1.48 Tỷ,240 m²,5.6m,5.6m,N/A,N/A,N/A,Không,ĐẤT,Quận 3,11/10/2025
"Dương quảng hàm, ngõ 6m, khu dân trí 68m² 4tầng, giá 11 tỷx",11.98 Tỷ,68 m²,4m,7m,4,N/A,N/A,1 Chỗ để ôtô,Đất,Dương Quảng Hàm,11/10/2025
Căn biệt thự sân vườn 2 tầng với diện tích khủng phường linh đông,9.8 Tỷ,170.4 m²,8.2m,3.5m,2,N/A,N/A,Không,đất,Thành Phố Thủ Đức,11/10/2025
King’s kwd205c-n  khi an toàn trở thành sức mạnh,200 Triệu,500 m²,4m,5m,N/A,N/A,2,Không,Chung Cư,Chung Cư Dream Home,11/10/2025
"275m2 đất thổ cư mặt tiền nguyễn kim cương, xã tân thạnh đông, củ chi giá 3,9 tỷ",3.9 Tỷ,275 m²,5m,5m,N/A,N/A,N/A,Không,ĐẤT,Nguyễn Kim Cương,11/10/2025
Siêu phẩm mặt tiền 62m2 7 tầng - có hầm & thang máy - nhà đẹp mới tinh - vị trí,16.5 Tỷ,62 m²,4m,10m,6,N/A,6,3 Chỗ để ôtô,Nhà Mặt Phố,Nguyễn Bỉnh Khiêm,11/10/2025
"Xe hơi vào nhà bán nhà đẹp 4 tầng trường sa, 65m2, nhỉnh 13 tỷ tl",13.2 Tỷ,65 m²,N/A,N/A,3,N/A,N/A,Không,N/A,Quận Phú Nhuận,11/10/2025
"Giá nhỉnh 8 tỏi _ siêu phẩm  hoàng lê kha, p.9, quận 6  nhà 5 tầng",8 Tỷ,88 m²,N/A,N/A,N/A,N/A,N/A,Không,Nhà Mặt Phố,Quận 6,11/10/2025
"Bán nhà hẻm 6m ngay chợ cây sộp - 4,8mx23m - 7 tỷ 999",8 Tỷ,104 m²,6m,6m,3,4,3,Không,N/A,Đông Hưng Thuận,11/10/2025
Chính chủ gửi bán căn nhà phố mặt tiền đường số 3 kdc himlam trương thọ,13 Tỷ,101 m²,5m,10m,4,N/A,4,Không,NHÀ PHỐ,Thành Phố Thủ Đức,11/10/2025
Nguyễn văn công p3 gò vấp 65m2 3 tầng - hxh - giá 7 tỷ7,7.7 Tỷ,65 m²,N/A,N/A,3,N/A,N/A,Không,Đất,Nguyễn Văn Công,11/10/2025
Vila mt đoàn nguyễn tuấn - bình chánh gần 6910m2 thổ cư chỉ 35tr/m2,240 Tỷ,6910 m²,40m,40m,N/A,N/A,4,Không,Đất,Huyện Bình Chánh,11/10/2025
Nhà siêu đẹp kế q10 hẻm 4m 3 tầng 2 phòng 3 wc chỉ 2.98 tỷ,2.98 Tỷ,16 m²,2m,4m,3,N/A,3,Không,đất,Quận Tân Bình,11/10/2025
Villa 450m2 cmt8 có hầm xe lô góc siêu đẹp 110 tỷ,110 Tỷ,450 m²,18m,15m,N/A,N/A,6,4 Chỗ để ôtô,N/A,Quận Tân Bình,11/10/2025
Mặt tiền q1 90m2 5 tầng kinh doanh khai thác 85tr chỉ 28.5 tỷ,28.5 Tỷ,90 m²,4.2m,25m,N/A,N/A,11,Không,Nhà Mặt Phố,Quận 1,11/10/2025
Vila đẹp huỳnh văn bánh phú nhuận 190m2 5 tầng chỉ 31.5 tỷ,31.5 Tỷ,190 m²,9m,6m,5,N/A,10,1 Chỗ để ôtô,N/A,Quận Phú Nhuận,11/10/2025
Cắt lỗ mặt tiền ngang 7m khu dân cư cây trôm - mỹ khánh củ chi chỉ 950tr,950 Triệu,210 m²,7m,20m,1,N/A,N/A,Không,đất,Huyện Củ Chi,11/10/2025
Mặt tiền lê đức thọ gv gần 900m2 chỉ 48 tỷ,48 Tỷ,900 m²,9m,35m,N/A,N/A,11,Không,đất,Quận Gò Vấp,11/10/2025
Bán nhà đường đô đốc chấn- phường sơn kỳ- 6 tỷ hơn.,6.79 Tỷ,60 m²,N/A,N/A,3,3,N/A,Không,Đất,Quận Tân Phú,11/10/2025
Chủ gủi bán gấp căn nhà 4 tầng - kdc hiện hữu - hiệp bình phước,6.2 Tỷ,51 m²,5m,4.5m,4,N/A,5,Không,đất,Thành Phố Thủ Đức,11/10/2025
Bán nhà hẻm 3m đường lê văn sỹ q.pn dt: 5m x 12m 3 lầu 11 tỷ,11 Tỷ,60 m²,N/A,N/A,3,3,4,Không,N/A,Quận Phú Nhuận,11/10/2025
Siêu phẩm gò vấp 50m2 sát mt quang trung - 4 tầng btct - full nội thất - chỉ 6.9,6.9 Tỷ,50 m²,4.6m,6m,4,4,5,3 Chỗ để ôtô,Đất,Quang Trung,11/10/2025
"Bán nhà mặt tiền đường trần quốc toản 2 phòng ngủ , 2 nhà vệ sinh",16 Tỷ,34 m²,34m,20m,N/A,2,2,Không,NHÀ MẶT TIỀN,Trần Quốc Toản,11/10/2025
"Bán nhà mặt tiền đường số 3, hiệp bình chánh, thủ đức. kdc sông đà",18 Tỷ,208 m²,10m,8m,N/A,N/A,6,4 Chỗ để ôtô,Nhà Mặt Phố,Thành Phố Thủ Đức,11/10/2025
"Nhà mặt tiền cấp 4, full thổ cư 300m2",3.7 Tỷ,300 m²,5m,9m,N/A,N/A,1,4 Chỗ để ôtô,NHÀ MẶT TIỀN,Nguyễn Văn Khạ (Nối Dài),11/10/2025
"Bán nhà cấp 4 mt đường nguyễn khuyến bt dt 92m2 giá có 13,333 tỷ còn tl",13.3 Tỷ,92 m²,4m,4m,N/A,N/A,N/A,Không,ĐẤT,Quận Bình Thạnh,11/10/2025
Ac cần tìm đất củ chi giá ngộp tầm 500tr đến 1ty500 full thổ shr liên hệ em ngay,500 Triệu,200 m²,N/A,N/A,N/A,N/A,N/A,Không,ĐẤT,Huyện Củ Chi,11/10/2025
Góc 2 mặt tiền đường 100 bình thới  p14 q11 | dt 4.2x15m | 5 tầng | chỉ 14 tỷ t,14 Tỷ,61 m²,N/A,N/A,N/A,N/A,N/A,Không,Nhà Mặt Phố,Quận 11,11/10/2025
"Siêu hiếm  nhà 3 mặt tiền bà hạt, q10 | dt 3,4x17m | chỉ 17 tỷ tl",17 Tỷ,40 m²,N/A,N/A,N/A,N/A,N/A,Không,Nhà Mặt Phố,Quận 10,11/10/2025
"Căn hộ 2pn/58m2 view hồ bơi , ban công đón nắng gió , ở ngay , shr , góp dài hạn",2.35 Tỷ,58 m²,N/A,N/A,N/A,2,2,2 Chỗ để ôtô,CĂN HỘ,Quận Tân Bình,11/10/2025
Nguyễn bỉnh khiêm căn góc view hồ bơi 47m2 1 tỷ 9 shr góp dài hạn ở ngay,1.9 Tỷ,47 m²,N/A,N/A,N/A,N/A,2,2 Chỗ để ôtô,Căn hộ,Quận Gò Vấp,11/10/2025
"Căn góc view landmark 81 cực rõ , 2 tỷ 15 sỗ sẵn , cận kề sân bay tsn , ở liền",2.15 Tỷ,53 m²,N/A,N/A,N/A,2,2,2 Chỗ để ôtô,Căn hộ,Quận Gò Vấp,11/10/2025
Ch góc 2pn xinh lung linh 2 tỷ 25 56m2 sổ hồng giáp bình thạnh ở ngay,2.25 Tỷ,56 m²,N/A,N/A,N/A,2,2,2 Chỗ để ôtô,căn hộ,Quận Phú Nhuận,11/10/2025
Bán rẻ 2 sổ (10x28=268m2) sổ riêng thổ cư 200m2 cặp sát trường chợ đối diện kcn.,268 Triệu,135 m²,10m,10m,N/A,N/A,N/A,Không,ĐẤT,Thành Phố Thủ Đức,11/10/2025
"Bán dãy trọ 1ty1 dt 240m2 thu nhập 12tr/th tân phú trung củ chi,shr",1.1 Tỷ,240 m²,10m,10m,N/A,N/A,10,4 Chỗ để ôtô,N/A,Huyện Củ Chi,11/10/2025
Cần bán gấp nhà 1 trệt 1 lầu tân phú trung củ chi 120m2 giá 1ty190tr,1.19 Tỷ,120 m²,N/A,N/A,N/A,N/A,2,Không,Đất,Huyện Củ Chi,11/10/2025
"Bán chdv ngay nơ trang long, bình thạnh giá rẻ 13 tỷ tl",13 Tỷ,72 m²,5m,6m,6,N/A,11,Không,N/A,Quận Bình Thạnh,11/10/2025
Bán nhà 4 tầng mặt tiền ngang 7m đường liên khu 1 6 bình trị đông bình tân,13.4 Tỷ,178.7 m²,7m,10m,N/A,N/A,4,2 Chỗ để ôtô,Nhà Mặt Phố,Liên Khu 1 - 6 Bình Trị Đông,11/10/2025
Đầu tư giữ tiền - chdv trung tâm thủ đức - tn 30 triệu/tháng - chỉ hơn 8 đồng,8.7 Tỷ,116 m²,N/A,6m,3,N/A,N/A,Không,N/A,Thành Phố Thủ Đức,11/10/2025
Căn góc 2pn2wc - 69m2 - bán 3.85 tỷ - đủ nội thất - q7 riverside,3.85 Tỷ,69 m²,7m,20m,N/A,N/A,2,4 Chỗ để ôtô,căn hộ,Quận 7,11/10/2025
"🏩 bán nhà 4 tầng hxh, quận 3, 36m², sổ vuông như a4, chỉ 8.3 tỷ 🏩",8.3 Tỷ,36 m²,3.5m,6m,2,N/A,3,Không,N/A,Nguyễn Đình Chiểu,11/10/2025
"Nhà q3, 3 tầng, 63m2, 3pn, 4wc xe tải vào, sổ hồng, chỉ 13 tỷ",13 Tỷ,63 m²,4m,6m,3,3,4,Không,nhà phố,Quận 3,11/10/2025
"🔥bán nhà 5 tầng, khu chợ bàn cờ, mặt tiền 10m, kinh doanh tốt, chỉ 9.5 tỷ🔥",9.5 Tỷ,30 m²,3m,10m,3,4,3,1 Chỗ để ôtô,N/A,Nguyễn Thiện Thuật,11/10/2025
Vincom thủ đức - chdv 3 tầng - tn 30 triệu/tháng - chỉ hơn 8 đồng,8.7 Tỷ,116 m²,N/A,7m,3,N/A,N/A,Không,N/A,Thành Phố Thủ Đức,11/10/2025
Giảm sốc 1 tỷ vị trí quá đẹp q10 dòng tiền 50tr tháng chỉ 22 3 tỷ,22.3 Tỷ,60 m²,4.5m,20m,N/A,4,4,3 Chỗ để ôtô,Nhà Mặt Phố,Chung Cư Hà Đô Centrosa Garden,11/10/2025
Hiệp bình chánh - 2.3 tỷ - shr - cho thuê 6tr/tháng - white palace,2.3 Tỷ,22 m²,3.5m,N/A,2,2,2,Không,Đất,Thành Phố Thủ Đức,11/10/2025
Sở hữu căn hộ 3 mặt view sông ngay trung tâm tp thủ đức ck 11.3% giá chỉ từ 99 t,455 Triệu,49 m²,N/A,N/A,N/A,N/A,1,Không,CĂN HỘ,The Prive,10/10/2025
"Bán nhà mt nguyễn hữu tiến, tân phú 5 tầng 113m2(4,5x25). nhà đẹp ở ngay. giá ch",22 Tỷ,113 m²,4.5m,12m,2,6,8,1 Chỗ để ôtô,Nhà Mặt Phố,Nguyễn Hữu Tiến,10/10/2025
"Bán nhà hxt nguyễn hữu tiến, tân phú 4 tầng 70m2(5x14).nhà đẹp ở ngay.giá 10.8tỷ",756 Triệu,70 m²,5m,10m,2,4,5,1 Chỗ để ôtô,N/A,Nguyễn Hữu Tiến,10/10/2025
"Nhỉn 3 tỷ - mua 1 được 2️⃣ - ngay chợ xuân hiệp , linh xuân",259 Triệu,70 m²,7m,7m,N/A,3,2,Không,Đất,Thành Phố Thủ Đức,10/10/2025
