Tiêu đề dự án,Giá,Diện tích,Giá/m²,Địa chỉ,Số phòng ngủ,Số phòng vệ sinh,Ngày đăng
HÀNG THƯỞNG ĐẶC BIỆT NHÀ PHỐ BIỆT THỰ VINHOMES CẦN GIỜ VỊ TRÍ ĐẸP & GIÁ TỐT NHẤT THỊ TRƯỜNG,Giá thỏa thuận,100 m²,N/A,"Cần Giờ, Hồ Chí Minh",N/A,N/A,07/10/2025
"QUỸ HÀNG NỘI BỘ ORI,BS,GH,BE,OPUS,MCP,LBV -1PN 2,4 - 2PN 2,6 - 3PN 3,8 |PHÂN TÍCH GIÁ,CSBH MỚI NHẤT","2,6 tỷ",59 m²,"44,07 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
GIỎ HÀNG VINHOMES GRAND PARK CẮT LỖ T10/2025 CẮT LỖ SÂU 600 TRIỆU,"3,35 tỷ",69 m²,"48,55 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"BIỆT THỰ LIỀN KỀ - QUỸ CĂN ĐẸP - ĐẠI LÝ ÔM ""GIÁ GỐC"" CỦA CHỦ ĐẦU TƯ VỊ TRÍ ĐẸP CHẮC CHẮN 100% CHÊNH",Giá thỏa thuận,75 m²,N/A,"Cần Giờ, Hồ Chí Minh",N/A,N/A,07/10/2025
PHÚ MỸ HƯNG MỞ BÁN CĂN HỘ THE SCULPTURA KHU CẢNH ĐỒI CẠNH CÔNG VIÊN ÁNH TRĂNG HỒ BÁN NGUYỆT,20 tỷ,115 m²,"173,91 tr/m²","Quận 7, Hồ Chí Minh",3,2,07/10/2025
"VINHOMES GRAND PARK QUẬN 9 CẬP NHẬT GIỎ HÀNG 200 CĂN -STUIDO: 1.8 TỶ - 1PN + 2,3 TỶ - 2PN 2.7 TỶ",Giá thỏa thuận,34 m²,N/A,"Quận 9, Hồ Chí Minh",N/A,1,07/10/2025
"DỰ ÁN CĂN HỘ HẠNG SANG THE SCULPTURA Ở ĐƯỜNG HÀ HUY TẬP MỚI NHẤT CỦA CĐT PHÚ MỸ HƯNG,CHỈ 75 CĂN",Giá thỏa thuận,115 m²,N/A,"Quận 7, Hồ Chí Minh",3,2,07/10/2025
"GIỎ HÀNG ƯU TIÊN VÀ ĐỘC QUYỀN, CHỌN CĂN ĐẸP TẠI VINHOMES CẦN GIỜ",Giá thỏa thuận,80 m²,N/A,"Cần Giờ, Hồ Chí Minh",N/A,N/A,07/10/2025
"BÁN GẤP CĂN HỘ 3PN, VINHOMES GRAND PARK Q9 VIEW SÔNG THOÁNG MÁT, GIÁ CHỈ 3,1 TỶ",Giá thỏa thuận,82 m²,N/A,"Quận 9, Hồ Chí Minh",3,N/A,07/10/2025
GRAND MARINA SAIGON SALE CHUYÊN DỰ ÁN BÁN (1PN - 22TỶ) (2PN - 32TỶ) (3PN - 56TỶ) 0911 850 ***,31 tỷ,78 m²,"397,44 tr/m²","Quận 1, Hồ Chí Minh",2,2,07/10/2025
GRAND MARINA SAIGON - EM CHUYÊN SĂN NHỮNG CĂN BÁN CẮT LỖ (56M2-20TỶ) (87M2-30TỶ) (150M2-65TỶ),20 tỷ,56 m²,"357,14 tr/m²","Quận 1, Hồ Chí Minh",1,1,07/10/2025
CHUYÊN BÁN CĂN HỘ KHANG ĐIỀN THE PRIVIA TẦNG NÀO CŨNG CÓ VIEW NÀO CŨNG CÓ ( GIÁ THẬT 100%),"4,1 tỷ",66 m²,"62,12 tr/m²","Bình Tân, Hồ Chí Minh",2,2,07/10/2025
"DUY NHẤT CĂN 3PN FULL NỘI THẤT, 3.7 TỶ/81M2 - GIỎ HÀNG THÁNG 9- CK 28% - TT GIÃN KÝ CĐT","3,7 tỷ",81 m²,"45,68 tr/m²","Quận 9, Hồ Chí Minh",3,2,07/10/2025
"ĐỘC QUYỀN BÁN SHOPHOUSE MẶT BIỂN DIỆN TÍCH 75M2, TRỰC TIẾP TỪ CDT BOOKING ĐẶT CHỖ 100TR/1 CĂN",Giá thỏa thuận,75 m²,N/A,"Cần Giờ, Hồ Chí Minh",N/A,N/A,07/10/2025
"ĐỘC QUYỀN GIỎ HÀNG ORIGAMI VIEW VƯỜN NHẬT GIẢM SỐC 30%. 1PN + 2,3 TỶ 2PN 2.99 TỶ, TT GIÃN ĐẾN 480N","2,3 tỷ",48 m²,"47,92 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"CỰC SỐC! VINHOMES Q9 KHU ORIGAMI GIẢM SỐC 30% 1PN + 2,28 TỶ 2PN 2.9 TỶ 2PN + 70M2 3,4 TỶ VƯỜN NHẬT","2,9 tỷ",59 m²,"49,15 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"BÁN CĂN HỘ 2PN - 78,22M2 TÒA SEA - JW MARRIOTT CHỈ 31,5 TỶ ALL IN GIÁ TỐT NHẤT THỊ TRƯỜNG","31,5 tỷ","78,22 m²","402,71 tr/m²","Quận 1, Hồ Chí Minh",2,2,07/10/2025
"CĂN HỘ SÀI GÒN INTELA GIÁ TỐT T10/2025 SKY VILLA 128M2 3.45TỶ, 55M2 GIÁ TỐT 1.96TỶ, 50M2 1.82TỶ","1,82 tỷ",50 m²,"36,4 tr/m²","Bình Chánh, Hồ Chí Minh",2,2,07/10/2025
"GIỎ HÀNG THE ORIGAMI CHIẾT KHẤU 30%, THANH TOÁN GIÃN 480 NGÀY, HÀNG THANH LÝ CĐT","3,4 tỷ",59 m²,"57,63 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
EATON PARK 10/2025 TRỰC TIẾP GAMUDA LAND 1PN 6.5 TỶ - 2PN 9.5 TỶ - 3PN 15.8 TỶ. CAM KẾT CK CAO NHẤT,"6,5 tỷ",51 m²,"127,45 tr/m²","Quận 2, Hồ Chí Minh",1,1,06/10/2025
"GIỎ HÀNG SUẤT NỘI BỘ TRỰC TIẾP CĐT MASTERISE HOME: 1PN+ 3,2 TỶ| 2PN 3,9 TỶ RẺ HƠN CĂN CHUYỂN NHƯỢNG","3,9 tỷ",74 m²,"52,7 tr/m²","Quận 9, Hồ Chí Minh",2,2,06/10/2025
"CẬP NHẬT GIỎ HÀNG ELYSIAN GIÁ TỐT NHẤT THỊ TRƯỜNG GĐ1, 1PN, 2PN 5,2 TỶ, 3PN 6,5 TỶ, TT 5% KÝ HĐMB","5,2 tỷ",80 m²,65 tr/m²,"Quận 9, Hồ Chí Minh",2,2,06/10/2025
"GIỎ HÀNG CĐT THE ORIGAMI GIÁ CHIẾT KHẤU 30%, THANH TOÁN GIÃN 480 NGÀY, CƠ HỘI LỚN CHO NHÀ ĐẦU TƯ.",3 tỷ,59 m²,"50,85 tr/m²","Quận 9, Hồ Chí Minh",1,2,06/10/2025
"SUẤT NGOẠI GIAO CĂN HỘ LUMIERE MIDTOWN - THE GLOBAL CITY, CHIẾT KHẤU 20%. LIÊN HỆ TRỰC TIẾP CĐT","8,9 tỷ",76 m²,"117,1 tr/m²","Quận 2, Hồ Chí Minh",2,N/A,06/10/2025
"GIỎ HÀNG VINHOMES CENTRAL PARK 2-3-4 PN, PENTHOUSE GIÁ TỐT NHẤT THỊ TRƯỜNG. LH BÌNH AN 0906 825 ***","11,8 tỷ",125 m²,"94,4 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2,06/10/2025
DUY NHẤT 01 CĂN HỘ VIEW SÔNG 70M2 TẦNG CAO GIÁ TỐT CHỈ 3.4 TỶ TẠI VINHOMES GRAND PARK 0903 040 ***,"3,4 tỷ",70 m²,"48,57 tr/m²","Quận 9, Hồ Chí Minh",2,2,06/10/2025
CẬP NHẬT GIỎ HÀNG GIÁ TỐT (1PN-5TỶ4) (2PN-7TỶ9) (3PN - 11TỶ5) (4PN - 18TỶ) VINHOMES CENTRAL PARK BT,"11,5 tỷ",123 m²,"93,5 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2,06/10/2025
GIỎ HÀNG CĂN HỘ MASTERI THẢO ĐIỀN 2PN TỪ 6.5 TỶ SỔ HỒNG CÔNG CHỨNG NGAY 0911 850 ***,"6,5 tỷ","63,5 m²","102,36 tr/m²","Quận 2, Hồ Chí Minh",2,2,06/10/2025
"CHUYÊN CHUYỂN NHƯỢNG CĂN HỘ GIÁ TỐT NHẤT THỊ TRƯỜNG, HỖ TRỢ VAY 70%. LH 0906 574 *** DUNG 24/7",Giá thỏa thuận,68 m²,N/A,"Quận 2, Hồ Chí Minh",2,2,06/10/2025
"GIỎ HÀNG CUỐI T10/2025, CĂN HỘ MASTERI THẢO ĐIỀN - GIÁ THIỆT, PHÁP LÝ RÕ RÀNG, CÓ HỖ TRỢ VAY",Giá thỏa thuận,70 m²,N/A,"Quận 2, Hồ Chí Minh",2,2,06/10/2025
GRAND MARINA SAIGON - EM CHUYÊN SĂN NHỮNG CĂN BÁN CẮT LỖ (56M2-20TỶ) (87M2-30TỶ) (150M2-65TỶ),20 tỷ,56 m²,"357,14 tr/m²","Quận 1, Hồ Chí Minh",1,1,07/10/2025
CHUYÊN BÁN CĂN HỘ KHANG ĐIỀN THE PRIVIA TẦNG NÀO CŨNG CÓ VIEW NÀO CŨNG CÓ ( GIÁ THẬT 100%),"4,1 tỷ",66 m²,"62,12 tr/m²","Bình Tân, Hồ Chí Minh",2,2,07/10/2025
"DUY NHẤT CĂN 3PN FULL NỘI THẤT, 3.7 TỶ/81M2 - GIỎ HÀNG THÁNG 9- CK 28% - TT GIÃN KÝ CĐT","3,7 tỷ",81 m²,"45,68 tr/m²","Quận 9, Hồ Chí Minh",3,2,07/10/2025
"ĐỘC QUYỀN BÁN SHOPHOUSE MẶT BIỂN DIỆN TÍCH 75M2, TRỰC TIẾP TỪ CDT BOOKING ĐẶT CHỖ 100TR/1 CĂN",Giá thỏa thuận,75 m²,N/A,"Cần Giờ, Hồ Chí Minh",N/A,N/A,07/10/2025
"ĐỘC QUYỀN GIỎ HÀNG ORIGAMI VIEW VƯỜN NHẬT GIẢM SỐC 30%. 1PN + 2,3 TỶ 2PN 2.99 TỶ, TT GIÃN ĐẾN 480N","2,3 tỷ",48 m²,"47,92 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"CỰC SỐC! VINHOMES Q9 KHU ORIGAMI GIẢM SỐC 30% 1PN + 2,28 TỶ 2PN 2.9 TỶ 2PN + 70M2 3,4 TỶ VƯỜN NHẬT","2,9 tỷ",59 m²,"49,15 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"BÁN CĂN HỘ 2PN - 78,22M2 TÒA SEA - JW MARRIOTT CHỈ 31,5 TỶ ALL IN GIÁ TỐT NHẤT THỊ TRƯỜNG","31,5 tỷ","78,22 m²","402,71 tr/m²","Quận 1, Hồ Chí Minh",2,2,07/10/2025
"CĂN HỘ SÀI GÒN INTELA GIÁ TỐT T10/2025 SKY VILLA 128M2 3.45TỶ, 55M2 GIÁ TỐT 1.96TỶ, 50M2 1.82TỶ","1,82 tỷ",50 m²,"36,4 tr/m²","Bình Chánh, Hồ Chí Minh",2,2,07/10/2025
"GIỎ HÀNG THE ORIGAMI CHIẾT KHẤU 30%, THANH TOÁN GIÃN 480 NGÀY, HÀNG THANH LÝ CĐT","3,4 tỷ",59 m²,"57,63 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
EATON PARK 10/2025 TRỰC TIẾP GAMUDA LAND 1PN 6.5 TỶ - 2PN 9.5 TỶ - 3PN 15.8 TỶ. CAM KẾT CK CAO NHẤT,"6,5 tỷ",51 m²,"127,45 tr/m²","Quận 2, Hồ Chí Minh",1,1,06/10/2025
"GIỎ HÀNG SUẤT NỘI BỘ TRỰC TIẾP CĐT MASTERISE HOME: 1PN+ 3,2 TỶ| 2PN 3,9 TỶ RẺ HƠN CĂN CHUYỂN NHƯỢNG","3,9 tỷ",74 m²,"52,7 tr/m²","Quận 9, Hồ Chí Minh",2,2,06/10/2025
"CẬP NHẬT GIỎ HÀNG ELYSIAN GIÁ TỐT NHẤT THỊ TRƯỜNG GĐ1, 1PN, 2PN 5,2 TỶ, 3PN 6,5 TỶ, TT 5% KÝ HĐMB","5,2 tỷ",80 m²,65 tr/m²,"Quận 9, Hồ Chí Minh",2,2,06/10/2025
"GIỎ HÀNG CĐT THE ORIGAMI GIÁ CHIẾT KHẤU 30%, THANH TOÁN GIÃN 480 NGÀY, CƠ HỘI LỚN CHO NHÀ ĐẦU TƯ.",3 tỷ,59 m²,"50,85 tr/m²","Quận 9, Hồ Chí Minh",1,2,06/10/2025
"SUẤT NGOẠI GIAO CĂN HỘ LUMIERE MIDTOWN - THE GLOBAL CITY, CHIẾT KHẤU 20%. LIÊN HỆ TRỰC TIẾP CĐT","8,9 tỷ",76 m²,"117,1 tr/m²","Quận 2, Hồ Chí Minh",2,N/A,06/10/2025
"GIỎ HÀNG VINHOMES CENTRAL PARK 2-3-4 PN, PENTHOUSE GIÁ TỐT NHẤT THỊ TRƯỜNG. LH BÌNH AN 0906 825 ***","11,8 tỷ",125 m²,"94,4 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2,06/10/2025
DUY NHẤT 01 CĂN HỘ VIEW SÔNG 70M2 TẦNG CAO GIÁ TỐT CHỈ 3.4 TỶ TẠI VINHOMES GRAND PARK 0903 040 ***,"3,4 tỷ",70 m²,"48,57 tr/m²","Quận 9, Hồ Chí Minh",2,2,06/10/2025
CẬP NHẬT GIỎ HÀNG GIÁ TỐT (1PN-5TỶ4) (2PN-7TỶ9) (3PN - 11TỶ5) (4PN - 18TỶ) VINHOMES CENTRAL PARK BT,"11,5 tỷ",123 m²,"93,5 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2,06/10/2025
GIỎ HÀNG CĂN HỘ MASTERI THẢO ĐIỀN 2PN TỪ 6.5 TỶ SỔ HỒNG CÔNG CHỨNG NGAY 0911 850 ***,"6,5 tỷ","63,5 m²","102,36 tr/m²","Quận 2, Hồ Chí Minh",2,2,06/10/2025
"CHUYÊN CHUYỂN NHƯỢNG CĂN HỘ GIÁ TỐT NHẤT THỊ TRƯỜNG, HỖ TRỢ VAY 70%. LH 0906 574 *** DUNG 24/7",Giá thỏa thuận,68 m²,N/A,"Quận 2, Hồ Chí Minh",2,2,06/10/2025
"GIỎ HÀNG CUỐI T10/2025, CĂN HỘ MASTERI THẢO ĐIỀN - GIÁ THIỆT, PHÁP LÝ RÕ RÀNG, CÓ HỖ TRỢ VAY",Giá thỏa thuận,70 m²,N/A,"Quận 2, Hồ Chí Minh",2,2,06/10/2025
CHUYÊN CH MASTERI THẢO ĐIỀN - CAM KẾT BÁO GIÁ THẬT - BAO GIÁ THẤP NHẤT THỊ TRƯỜNG - HỖ TRỢ VAY 80%,Giá thỏa thuận,74 m²,N/A,"Quận 2, Hồ Chí Minh",2,2,06/10/2025
"NHÀ PHỐ CHÍNH CHỦ GIÁ TỐT XÂY MỚI DỌC TRỤC QUỐC LỘ 13 - THỦ ĐỨC SHR - GIÁ TỪ 6,8 TỶ - 12 TỶ","6,8 tỷ",78 m²,"87,18 tr/m²","Thủ Đức, Hồ Chí Minh",6,7,06/10/2025
"GIỎ HÀNG THE ORIGAMI GIÁ SỐC GIẢM 30%, THANH TOÁN GIÃN 480 NGÀY, CƠ HỘI ĐẦU TƯ HOT, LH 0903 040 ***","2,99 tỷ",59 m²,"50,68 tr/m²","Quận 9, Hồ Chí Minh",2,2,06/10/2025
"BOOKING 100TR, CAM KẾT CÓ HÀNG, NHẬN FULL ƯU ĐÃI, CHIẾT KHẤU CAO- VINHOMES CẦN GIỜ - GREEN PARADISE","12,5 tỷ","62,5 m²",200 tr/m²,"Cần Giờ, Hồ Chí Minh",N/A,N/A,06/10/2025
BÁN CĂN 2PN 2WC FULL NỘI THẤT KHU BEVERLY SOLARI VIEW SÔNG VÀ VIEW PHÁO HOA CỰC ĐẸP GIÁ CHỈ 3.9 TỶ,"3,9 tỷ",59 m²,"66,1 tr/m²","Quận 9, Hồ Chí Minh",2,2,06/10/2025
EM HIỆP CHUYÊN BÁN CĂN HỘ GRAND MARINA SAIGON. GIỎ HÀNG TRỰC TIẾP CHỦ ĐẦU TƯ VÀ CHUYỂN NHƯỢNG,33 tỷ,78 m²,"423,08 tr/m²","Quận 1, Hồ Chí Minh",2,N/A,06/10/2025
CHUYÊN BÁN CH VINHOMES CENTRAL PARK 1 - 2 - 3 - 4PN PENTHOUSE - GIÁ TỐT NHẤT. LH THU PHƯƠNG,"11,8 tỷ",126 m²,"93,65 tr/m²","Bình Thạnh, Hồ Chí Minh",3,3,06/10/2025
CĂN HỘ CAO CẤP LUMIERE MIDTOWN THE GLOBAL CITY TỪ 1PN ĐẾN 4PN GIỎ HÀNG GIÁ GỐC TỪ CHỦ ĐẦU TƯ,Giá thỏa thuận,141 m²,N/A,"Quận 2, Hồ Chí Minh",4,3,06/10/2025
EM LÀ HẠNH CHUYÊN PHÂN PHỐI GIỎ HÀNG CHUYỂN NHƯỢNG VÀ GIỎ HÀNG MỚI NHẤT CỦA CĐT DỰ ÁN EATON PARK,7 tỷ,55 m²,"127,27 tr/m²","Quận 2, Hồ Chí Minh",1,N/A,06/10/2025
"BÁN CC ĐẸP TẠI NGUYỄN HỮU THỌ, 9,2 TỶ, 124M2, 3PN, 2WC, HÀNG HOT","9,2 tỷ",124 m²,"74,19 tr/m²","Quận 7, Hồ Chí Minh",3,2,06/10/2025
"BÁN GẤP CĂN HỘ 2PN, 2WC TẠI EATON PARK, 9,429 TỶ, 74M2, VIEW ĐẸP","9,43 tỷ",74 m²,"127,42 tr/m²","Quận 2, Hồ Chí Minh",2,2,06/10/2025
"BÁN ĐẤT MT ĐƯỜNG DCT15 KDC AN SƯƠNG, GIÁ 4,75TỶ - CHÍNH CHỦ","4,75 tỷ",50 m²,95 tr/m²,"Quận 12, Hồ Chí Minh",N/A,N/A,06/10/2025
"BÁN ĐẤT 3705M² (2 SỔ) CHÍNH CHỦ, GẦN TRUNG TÂM XÃ AN THỚI ĐÔNG CẦN GIỜ, GIÁ 850K/M²","3,15 tỷ",3.705 m²,"849,93 nghìn/m²","Cần Giờ, Hồ Chí Minh",N/A,N/A,06/10/2025
"BÁN NHÀ MẶT TIỀN BÙI QUANG LÀ, P12, GÒ VẤP, 102M², SỔ HỒNG RIÊNG, GIÁ 9.970 TỶ","9,97 tỷ",102 m²,"97,74 tr/m²","Gò Vấp, Hồ Chí Minh",4,N/A,06/10/2025
"FULL GIỎ HÀNG CĂN HỘ 3PN MASTERI THẢO ĐIỀN, GIÁ 8.5 TỶ, CĂN CỰC MỚI CÓ SỔ SHR LH: 0932 139 ***","8,5 tỷ",94 m²,"90,43 tr/m²","Quận 2, Hồ Chí Minh",3,2,06/10/2025
CHÍNH CHỦ CẦN BÁN GẤP CĂN HỘ VINHOMES GOLDEN RIVER BA SON CĂN GÓC 3PN VIEW TRỰC DIỆN SÔNG SÀI GÒN,"30,5 tỷ","118,5 m²","257,38 tr/m²","Quận 1, Hồ Chí Minh",3,2,06/10/2025
"LUMIERE RIVERSIDE EM CHUYÊN SĂN NHỮNG CĂN GIÁ GỐC CẮT LỖ (52M2-7,5TỶ) (77M2-9,5TỶ) (101M2-14TỶ)","7,5 tỷ",52 m²,"144,23 tr/m²","Quận 2, Hồ Chí Minh",1,1,06/10/2025
TÔI CẦN BÁN CĂN HỘ 3PN BASON - CĂN GÓC VÒNG CUNG - LẦU CAO VIEW SÔNG -TRỰC DIỆN BITEXCO -FULL NT,Giá thỏa thuận,126 m²,N/A,"Quận 1, Hồ Chí Minh",N/A,N/A,06/10/2025
"GIÁ THẬT! CK CAO NHẤT 10/2025, TRỰC TIẾP CĐT 1PN 2.36 TỶ - 2PN 4.63 TỶ - 3PN 6.81 TỶ. BAO THUẾ PHÍ","3,57 tỷ","52,6 m²","67,87 tr/m²","Quận 9, Hồ Chí Minh",1,1,06/10/2025
"RỔ SỈ DỰ ÁN ELYSIAN 1PN, 2PN, 3PN, PENT. GIÁ TỪ 58 TRIỆU/M2. LỊCH THANH TOÁN GIÃN ĐẾN THÁNG 11/2028",5 tỷ,80 m²,"62,5 tr/m²","Quận 9, Hồ Chí Minh",2,2,06/10/2025
"CHÍNH CHỦ BÁN GẤP 2 LÔ ĐẤT LIỀN KỀ 1600M²/LÔ TẠI HƯNG LONG, BÌNH CHÁNH | SHR",7 tỷ,1.600 m²,"4,38 tr/m²","Bình Chánh, Hồ Chí Minh",N/A,N/A,06/10/2025
"CẦN BÁN GẤP NGUYỄN THỊ MINH KHAI, ĐA KAO, Q.1, HCM GIÁ CỰC TỐT",Giá thỏa thuận,56 m²,N/A,"Quận 1, Hồ Chí Minh",2,3,06/10/2025
ELYSIAN BY GAMUDA LAND CHÍNH THỨC NHẬN BOOKING CHO THÁP B ƯU ĐÃI CHIẾT KHẤU LÊN ĐẾN 9%,"3,6 tỷ","48,2 m²","74,69 tr/m²","Quận 9, Hồ Chí Minh",1,1,06/10/2025
QUẢN LÝ GIỎ HÀNG 100 CĂN LUMIERE MITDOWN THE GLOBAL CITY GIÁ NGON BỔ RẺ NHẤT,"7,64 tỷ",48 m²,"159,25 tr/m²","Quận 2, Hồ Chí Minh",1,1,05/10/2025
"CĂN HỘ HẠNG SANG VINHOMES QUẬN 9 2 PHÒNG NGỦ GIÁ 3,9 TỶ 73M2 - CHỈ 450 TRIỆU KÍ HỢP ĐỒNG MUA BÁN","3,9 tỷ",73 m²,"53,42 tr/m²","Quận 9, Hồ Chí Minh",2,2,05/10/2025
"GIỎ HÀNG VIP CHUNG CƯ KHẢI HOÀN PRIME, 3,5 TỶ, 63M2. BÀN GIAO CAO CẤP, CHIẾT KHẤU 9%","3,5 tỷ",63 m²,"55,56 tr/m²","Nhà Bè, Hồ Chí Minh",2,2,05/10/2025
"TỔNG QUAN CĂN HỘ THE SCULPTURA - DỰ ÁN MỚI NHẤT TẠI PHÚ MỸ HƯNG 2025, TRỰC TIẾP CĐT, ƯU ĐÃI HẤP DẪN",Giá thỏa thuận,116 m²,N/A,"Quận 7, Hồ Chí Minh",3,2,05/10/2025
"BÁN CĂN HỘ MASTERI THẢO ĐIỀN 2PN VIEW SÔNG THÁP T4, DIỆN TÍCH 77M2, SỔ HỒNG SẴN, LH 0936 721 ***","6,9 tỷ",77 m²,"89,61 tr/m²","Quận 2, Hồ Chí Minh",2,2,05/10/2025
"RỔ HÀNG NGỘP CẮT LỖ SÂU CẦN RA GẤP VINHOMES Q9 STUDIO GIÁ TỪ 1.6 TỶ, 2PN GIÁ 2.2TỶ LH 0938 393 ***","2,6 tỷ",60 m²,"43,33 tr/m²","Quận 9, Hồ Chí Minh",2,2,05/10/2025
BÁN NHANH CĂN HỘ 2 PHÒNG NGỦ VINHOMES CENTRAL PARK 86M2 GIÁ THƯƠNG LƯỢNG,"8,6 tỷ",86 m²,100 tr/m²,"Bình Thạnh, Hồ Chí Minh",2,2,05/10/2025
CĂN HỘ HẠNG SANG PHÚ MỸ HƯNG THE SCULPTURA ĐƯỜNG HÀ HUY TẬP GẦN HỒ BÁN NGUYỆT MỚI NHẤT,Giá thỏa thuận,135 m²,N/A,"Quận 7, Hồ Chí Minh",3,2,05/10/2025
79 CĂN SUẤT NỘI BỘ VINHOMES CẦN GIỜ -CHIẾT KHẤU 23% - BOOKING TẶNG 8 CHỈ VÀNG TẠI VINHOMES PARADISE,13 tỷ,200 m²,65 tr/m²,"Cần Giờ, Hồ Chí Minh",5,4,05/10/2025
"BÁN GẤP CĂN HỘ Q7 RIVERSIDE VIEW SÔNG 3PN GIÁ 5.1TỶ - HĐMB, BIDV LS 5.5% LH: 0706 679 ***","5,1 tỷ",86 m²,"59,3 tr/m²","Quận 7, Hồ Chí Minh",3,2,05/10/2025
"TỔNG HỢP 100 CĂN TỪ 4 BLOCK Q7 RIVERSIDE, 2PN BÁN 3,5 TỶ, K PHÁT SINH THÊM CHI PHÍ . LH: 0932 139 ***","3,5 tỷ",68 m²,"51,47 tr/m²","Quận 7, Hồ Chí Minh",2,2,05/10/2025
"BAN QUẢN LÝ BÁN Q7 RIVERSIDE 2PN 2WC 67M2 3.4 TỶ, VIEW SÔNG, NHÀ MỚI, PHÁP LÝ RÕ RÀNG 0939 720 ***","3,4 tỷ",67 m²,"50,75 tr/m²","Quận 7, Hồ Chí Minh",2,2,05/10/2025
"BÁN CĂN HỘ 3 PHÒNG NGỦ VINHOMES CENTRAL PARK 120M2, CĂN GÓC VIEW SÔNG",15 tỷ,120 m²,125 tr/m²,"Bình Thạnh, Hồ Chí Minh",3,2,05/10/2025
