Tiêu đề,Đường trước nhà,Số tầng,Số phòng ngủ,Chỗ để xe,Giá,Diện tích,Kích thước,Ngày đăng,Địa chỉ
"Bán đất MT Lý Nhơn, xã Lý Nhơn, Cần Giờ: 88.170m2 , giá: 183tỷ",15m,N/A,N/A,Không,183 tỷ,88170 m²,N/A,07/10/2025,"Đường Lý Nhơn, Xã An Thới Đông, Hồ Chí Minh"
"Bán nhà đường Lê Lợi, Gò Vấp, Giá: 3 tỷ 386 triệu / 55m2, sổ hồng riêng",6m,2,3,Có,"3,386 tỷ",55 m²,5x11m,07/10/2025,"Đường Lê Lợi, Phường Hạnh Thông, Hồ Chí Minh"
"Bán nhà đẹp Nguyễn Thái Sơn, Gò Vấp có 3 phòng ngủ, 51m² chỉ 3 Tỷ 650, Sổ hồng riêng",6m,1,3,Có,"3,65 tỷ",51 m²,"4,5x11,3m",07/10/2025,"Đường Nguyễn Thái Sơn, Phường An Nhơn, Hồ Chí Minh"
Siêu Phẩm Toà Nhà Góc 2 Mặt Tiền Mạc Đỉnh Chi Q.1-10x25m Hầm 10 tầng HĐT 500tr giá 239 tỷ.,30m,11,12,Không,239 tỷ,204 m²,10x25m,07/10/2025,"Đường Mạc Đĩnh Chi, Phường Tân Định, Hồ Chí Minh"
"Căn hộ CitiGrand duplex trần cao 5,4m-Giá 3,9tỷ/căn,ký HĐMB 10%,khách vay miễn LS 0% 24th",16m,22,4,Có,"3,9 tỷ",80 m²,N/A,07/10/2025,", , Hồ Chí Minh"
"BÁN NHÀ 2 TẦNG - 42M2 - ÔTÔ ĐỔ CỬA - FULL NỘI THẤT - LOTTE NGUYỄN VĂN LƯỢNG, 4.x TỶ",4m,2,2,Có,"4,5 tỷ",32 m²,4x12m,07/10/2025,"Đường Thống Nhất, Phường Thông Tây Hội, Hồ Chí Minh"
"Bán tòa 21 CHDV Cao cấp HXH Nguyễn Thị Định. DT: 172m2 đất, 5 Tầng, HĐT 80tr - 17 tỷ TL",6m,5,21,Có,17 tỷ,172 m²,"4,5x30m",07/10/2025,"Đường Nguyễn Thị Định, Phường Bình Trưng, Hồ Chí Minh"
"Nhà đẹp Mai Thị Lựu, Đa Kao Q1 | 9.2x15m. DTCN: 132 m2 – 3 lầu thang máy – Giá chỉ 38 tỷ",7m,4,5,Không,"37,9 tỷ",500 m²,"9,5x15m",07/10/2025,"Đường Mai Thị Lựu, Phường Tân Định, Hồ Chí Minh"
Góc 2 mặt tiền Cao Thắng – Điện Biên Phủ Q3 | Căn góc siêu đẹp – Giá chỉ 35 tỷ,30m,3,3,Không,35 tỷ,300 m²,7x11m,07/10/2025,"Đường Cao Thắng, Phường Bàn Cờ, Hồ Chí Minh"
"Mặt tiền Calmette,Quận 1. 8x20m. 5 tầng. Vị trí đẹp nhất- Đối diện chợ Bến Thành-Giá 127tỷ",30m,5,5,Không,127 tỷ,400 m²,8x20m,07/10/2025,"Đường Calmette, Phường Sài Gòn, Hồ Chí Minh"
"NHÀ MT HOA ĐÀO – P.2, QUẬN PHÚ NHUẬN -DT: 4x18. 5 tầng vào ở ngay. Giá: 13,5 tỷ",8m,5,4,Không,"13,5 tỷ",250 m²,4x18m,07/10/2025,"Đường Hoa Đào, Phường Cầu Kiệu, Hồ Chí Minh"
"Tòa nhà 10 tầng căn góc 3 mặt tiền số 53 Võ Văn Tần,P.6, Q3. Ngay Dinh Độc Lập- Bến Thành",25m,10,10,Không,280 tỷ,2000 m²,8x30m,07/10/2025,"Đường Võ Văn Tần, Phường Xuân Hòa, Hồ Chí Minh"
"KẸT TIỀN BÁN GẤP NHÀ THIÊN PHƯỚC,TÂN BÌNH-GIÁ:4,67TỶ/80,5m2(7x11,5m).NHÀ 4 TẦNG KIÊN CỐ",8m,3,4,Không,"4,67 tỷ",80 m²,"7x11,5m",07/10/2025,"Đường Thiên Phước, Phường Tân Hòa, Hồ Chí Minh"
Bán Toà Nhà Mặt Tiền đường số 7 khu Trung sơn DT:6x20 nhà 1ham 5Lầu- giá 21 tỷ có trao đổi,14m,6,4,Có,21 tỷ,120 m²,6x20m,07/10/2025,"Đường số 7, Xã Bình Hưng, Hồ Chí Minh"
"Nhà mới 3.5 tầng – đường xe tải – sát mặt tiền đường số 10, hiệp bình phước",7m,4,4,Có,"6,9 tỷ",60 m²,"4,2x14m",07/10/2025,"Đường Số 10, Phường Hiệp Bình, Hồ Chí Minh"
"Còn duy nhất 1 căn tại khu đồng bộ 26 căn, giá tốt cần bán nhanh",7m,4,4,Có,"6,999 tỷ",56 m²,N/A,07/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
"Vị trí đẹp , nhà đẹp , cách MT vài bước chân , CMT8 quận 3",2m,2,3,Không,"4,9 tỷ",49 m²,4x12m,07/10/2025,"Đường Cách Mạng Tháng 8, Phường Nhiêu Lộc, Hồ Chí Minh"
Bán Nhà 5 Tầng 5 x 18 Tại Phước Kiển SỔ Riêng đường 8m KDC Hiện Hữu Ngay Làng ĐH Khu B,8m,5,5,Có,"10,6 tỷ",289 m²,5x18m,07/10/2025,"Đường Lê Văn Lương, Xã Nhà Bè, Hồ Chí Minh"
"SỞ HỮU NGAY NHÀ 70m2 GIÁ 5tỷ350 ĐƯỜNG PHAN VĂN TRỊ - GÒ VẤP, SỔ HỒNG RIÊNG",6m,3,4,Có,"5,35 tỷ",70 m²,5x14m,07/10/2025,"Đường Phan Văn Trị, Phường An Nhơn, Hồ Chí Minh"
Ngộp vốn bán gấp nhà mặt tiền đường Nguyễn Trọng Tuyển-Phú Nhuận giá 5tỷ330/70m2 sổ hồng,10m,3,4,Có,"5,33 tỷ",70 m²,5x14m,07/10/2025,"Đường Nguyễn Trọng Tuyển, Phường Phú Nhuận, Hồ Chí Minh"
Chính Chủ Bán Gấp Nhà Đường Nguyễn Cửu Phú - Bình Chánh - Sổ Riêng,6m,1,2,Có,"1,2 tỷ",80 m²,4x20m,07/10/2025,"Đường Nguyễn Cửu Phú, Xã Tân Nhựt, Hồ Chí Minh"
"CHỦ NGỘP CẦN BÁN GẤP VÀI CĂN NHÀ ĐỒNG BỘ SÁT VẠN PHÚC CITY, CÁCH QL13 200M, DT 50M2-66M2",10m,4,4,Có,"7,9 tỷ",60 m²,4x15m,07/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
"VỊ TRÍ VÀNG ! NHÀ PHỐ MỚI XÂY SỔ RIÊNG NGAY TRỤC QL13, P. HIỆP BÌNH CHÁNH HIỆP BÌNH PHƯỚC",9m,4,4,Có,"6,8 tỷ",60 m²,"4,15x14,5m",07/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
27CHDV✅DÒNG TIỀN KHỦNg💥HXH 9TẦNG💥1400m–DÒNG TIỀN 240TR/THÁNG–ĐIỆN BIÊN PHỦ P2 Bình Thạnh,10m,9,27,Có,46 tỷ,1400 m²,"4,5x35m",07/10/2025,"Đường Điện Biên Phủ, Phường Gia Định, Hồ Chí Minh"
"Kẹt vốn kinh doanh bán lại lô đất 151m2 giá 790tr, Tân Thông Hội Củ Chi, Sổ hồng riêng",8m,N/A,N/A,Không,790 triệu,151 m²,5x30m,07/10/2025,"Đường Liêu Bình Hương, Xã Củ Chi, Hồ Chí Minh"
"BÁN NHÀ MỚI ĐẸP, P15 Tân Bình, ngay khu VIP 133 Cống Lở, full nội thất, hẻm xe hơi !!!!!!!",4m,3,4,Có,"6,979 tỷ",55 m²,"4,1x14m",07/10/2025,"Đường Cống Lở, Phường Tân Sơn, Hồ Chí Minh"
"PHAN HUY ÍCH TÂN BÌNH ,4×12 ,3 TẦNG ,HXH TRÁNH THÔNG NHÌU HƯỚNG ,CHỈ 5 TỶ 190TR",6m,3,3,Có,"5,19 tỷ",50 m²,4x12m,07/10/2025,"Đường Phan Huy Ích, Phường Tân Sơn, Hồ Chí Minh"
"Ngộp ngân hàng nên bán gấp căn nhà ở Thị Trấn Hóc Môn, DT 100m2, Giá 1 tỷ 050.",5m,1,3,Không,"1,05 tỷ",100 m²,5x20m,07/10/2025,"Đường Lê Lợi, Xã Hóc Môn, Hồ Chí Minh"
"Chồng ngoại tình vợ bán nhà gấp để về quê ngoại, nhà ở Bà Điểm- Hóc Môn. DT 80m2, Giá 810",5m,N/A,2,Không,810 triệu,80 m²,5x16m,07/10/2025,"Đường Bà Điểm 5, Xã Bà Điểm, Hồ Chí Minh"
"Bán gấp lô đất 190m2 đường NHỰA 12 mét, Tân Thông Hội Củ Chi, gần trường cấp 2, GIÁ 650tr",12m,N/A,N/A,Không,650 triệu,190 m²,6x32m,07/10/2025,"Đường Trần Tử Bình, Xã Củ Chi, Hồ Chí Minh"
"Bán nhà hẻm xe hơi 61 Bình Gĩa P13 Q.TB - DT: 5mx16m - 4 tầng mới -giá 14,5 tỷ TL",8m,4,4,Có,"14,5 tỷ",80 m²,5x16m,07/10/2025,"Đường Bình Giã, Phường Tân Bình, Hồ Chí Minh"
Bán nhà định cư Mỹ - Nguyễn Tất Thành Q4 - 2 tầng 66m2 - Thấp hơn 5Tỷ,12m,2,4,Có,"4,8 tỷ",66 m²,3x20m,07/10/2025,"Đường Nguyễn Tất Thành, Phường Xóm Chiếu, Hồ Chí Minh"
Bán nhà 2MT Huỳnh Tấn Phát - 105m2 - 2 tầng BTCT - Full NT - chỉ hơn 7 Tỏi.,3m,2,6,Không,"7,8 tỷ",105 m²,5x23m,07/10/2025,"Đường Huỳnh Tấn Phát, Phường Tân Mỹ, Hồ Chí Minh"
BÁN KHÁCH SẠN ĐƯỜNG NƠ TRANG LONG & NGUYỄN XÍ 7 TẦNG GIÁ 63TỶ,30m,7,24,Có,63 tỷ,210 m²,"6,3x24m",07/10/2025,"Đường Nguyễn Xí, Phường Bình Thạnh, Hồ Chí Minh"
"Kẹt tiền ! Cần bán gấp căn nhà cấp 4 ở 1/ đường Tân Xuân 6 , Hóc Môn 92m2 SHR giá 910tr",4m,N/A,2,Không,910 triệu,92 m²,5x18m,07/10/2025,"Đường Tân Xuân 6, Xã Hóc Môn, Hồ Chí Minh"
Đất mặt tiền nhựa gần chợ Tân Phú Trung Củ Chi 140m2 giá 1 tỷ 200tr,8m,N/A,N/A,Không,"1,2 tỷ",141 m²,5x28m,07/10/2025,"Đường số 79, Xã Củ Chi, Hồ Chí Minh"
Chính chủ bán nhà MT Huỳnh Văn Bánh PN (6.2x15m 85m2) 3 tầng HĐT 50tr/tháng,15m,3,4,Có,"35,8 tỷ",85 m²,"6,2x15m",07/10/2025,"Đường Huỳnh Văn Bánh, Phường Phú Nhuận, Hồ Chí Minh"
"Bán nhà 4 tầng đẹp, 5 phòng ngủ, hẻm 6m, phường 4, Tân Bình, 5 phút tới sân bay, sổ riêng.",6m,4,5,Có,"16,7 tỷ",80 m²,"4,1x20m",07/10/2025,"Đường Hậu Giang, Phường Tân Sơn Nhất, Hồ Chí Minh"
"Toà nhà 7 tầng Hẻm xe hơi đường 3 tháng 2 (3,6mx17,5m). Gá 13 tỷ",10m,6,6,Không,13 tỷ,61 m²,"3,6x17m",07/10/2025,"Đường 3/2, Phường Vườn Lài, Hồ Chí Minh"
"CHÍNH CHỦ BÁN VILLA ĐƯỜNG 13, PHƯỜNG BÌNH TRƯNG TÂY, QUẬN 2",8m,1,3,Có,53 tỷ,500 m²,20x25m,07/10/2025,"Đường số 13, Phường Bình Trưng, Hồ Chí Minh"
BÁN NHÀ -KHU CHỢ TÂN HƯƠNG- HXH - DT 60M2- 3 TẦNG- HC ĐỦ- GIÁ CHỈ 6.2TY,5m,4,8,Có,"6,2 tỷ",60 m²,5x20m,07/10/2025,"Đường Văn Cao, Phường Phú Thạnh, Hồ Chí Minh"
Siêu vị trí mặt tiền Xuân Thủy ngay Thảo Điền chỉ 175tr/m2,30m,3,10,Không,61 tỷ,342 m²,N/A,07/10/2025,"Đường Xuân Thủy, Phường An Khánh, Hồ Chí Minh"
"Bán biệt thự Ngô Quang Huy- Thảo Điền 16x38m , CN 650m2 giá bán 95 tỷ",20m,2,5,Không,95 tỷ,650 m²,16x38m,07/10/2025,"Đường Ngô Quang Huy, Phường An Khánh, Hồ Chí Minh"
"Bán nhà mặt tiền Nguyễn Duy Hiệu, P. Thảo Điền, Q.2 18x28m giá 85 tỷ khu vực được cao",30m,2,6,Không,85 tỷ,500 m²,N/A,07/10/2025,"Đường Nguyễn Duy Hiệu, Phường An Khánh, Hồ Chí Minh"
Bán nhà biệt thự sân vườn hồ bơi Trần Ngọc Diện 18x40m giá 95 tỷ,30m,3,10,Không,95 tỷ,720 m²,N/A,07/10/2025,"Đường Trần Ngọc Diện, Phường An Khánh, Hồ Chí Minh"
"Bán biệt thự mặt tiền Trần Ngọc Diện 20x25m , CN 450m2 giá bán 115 tỷ",20m,2,5,Không,115 tỷ,450 m²,20x25m,07/10/2025,"Đường Trần Ngọc Diện, Phường An Khánh, Hồ Chí Minh"
"MT Trường Sa ,Bình Thanh ,CN 120m2 ,Giá Chỉ 39 ty",20m,5,8,Có,39 tỷ,120 m²,6x18m,07/10/2025,"Đường Trường Sa, Phường Thạnh Mỹ Tây, Hồ Chí Minh"
"NHÀ 3 TẦNG MẶT TIỀN KHU CƯ XÁ ĐIỆN LỰC, TRƯỜNG THỌ THỦ ĐỨC",8m,3,5,Có,"8,99 tỷ",115 m²,"9,3x13m",07/10/2025,"Đường Số 2, Phường Thủ Đức, Hồ Chí Minh"
"🏠 BÁN NHÀ MẶT ĐẤT 5 TẦNG – KHU NHÀ Ở THƯƠNG MẠI 319 LÝ THƯỜNG KIỆT, Q.11",N/A,5,N/A,Không,"25,5 tỷ",72 m²,N/A,07/10/2025,"Đường Lý Thường Kiệt, Phường Phú Thọ, Hồ Chí Minh"
"Bán đất dự án Sở Văn Hóa Thông Tin, Quận 9, TP Thủ Đức. giá đầu tư",12m,N/A,N/A,Không,67 triệu / m²,90 m²,6x15m,07/10/2025,"Đường Liên Phường, Phường Long Trường, Hồ Chí Minh"
"Chính chủ bán gấp nhà 2 mặt tiền đường Cộng Hòa,Q Tân Bình, Diện tích 7x30m, Vị trí vàng",40m,1,1,Không,48 tỷ,200 m²,7x30m,07/10/2025,"Đường Cộng Hòa, Phường Tân Bình, Hồ Chí Minh"
BÁN NHÀ ĐƯỜNG TAM CHÂU_ GẦN 100M2_ GIÁ 5 TỶ,5m,1,1,Không,5 tỷ,99 m²,"4,7x21m",07/10/2025,"Đường Tam Châu, Phường Tam Bình, Hồ Chí Minh"
"Bán nhà hẻm xe hơi 1 trục thẳng sát MT Trường Chinh, P14 Tân Bình, gần Etown, 72m2 3 tầng",6m,3,5,Có,"10,5 tỷ",72 m²,4x18m,06/10/2025,"Đường Trường Chinh, Phường Tân Bình, Hồ Chí Minh"
"KDC TÂN PHÚ TRUNG LIỀN KỀ VIN CỦ CHI, SỔ HỒNG RIÊNG, XÂY TỰ DO 1,9TỶ/NỀN",12m,N/A,N/A,Không,"1,9 tỷ",100 m²,5x20m,06/10/2025,"Đường Cây Da, Xã Củ Chi, Hồ Chí Minh"
"Siêu Phẩm Tòa Nhà CHDV An Dương Vương, Q.5 Dòng Tiền Cao, Vị Trí Trung Tâm, Giá Cực Tốt!",8m,8,33,Không,40 tỷ,107 m²,"6,4x18,3m",06/10/2025,"Đường An Dương Vương, Phường Chợ Quán, Hồ Chí Minh"
"MT Sát Q1 ,Lê Văn Duyệt ,Bình Thạnh ,Giá chỉ 24ty",30m,5,7,Không,24 tỷ,74 m²,4x13m,06/10/2025,"Đường Lê Văn Duyệt, Phường Gia Định, Hồ Chí Minh"
Bán Nền Đất KDC Tây Lân - 50m2 Sổ Hồng Riêng Hẻm Oto 7m,7m,N/A,N/A,Không,"3,2 tỷ",50 m²,5x10m,06/10/2025,"Đường Tây Lân, Phường Tân Tạo, Hồ Chí Minh"
"Bán gấp 104C đường số 23, Phường 11, Quận 6, DT: 4 x 31, 4 tầng, giá 23.5 tỷ",30m,4,7,Không,"23,5 tỷ",123 m²,4x31m,05/10/2025,"Đường số 23, Phường Bình Phú, Hồ Chí Minh"
"Bán gấp mặt tiền Hai Bà Trưng, P6, Quận 3 - DT 8x30m - hầm, 10 tầng - giá 158 tỷ",30m,11,10,Không,158 tỷ,240 m²,N/A,05/10/2025,"Đường Hai Bà Trưng, Phường Xuân Hòa, Hồ Chí Minh"
"NHÀ BÁN: HXH, QL13, 80M2, 5 TẦNG, MỚI TOANH_ DÒNG TIỀN GẦN 30TR/TH_GIÁ 6,9 TỶ",6m,4,7,Không,"6,9 tỷ",80 m²,"6,3x13m",05/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
Siêu phẩm HXH Phạm Văn Chiêu 3 tầng BTCT - Nhà Đẹp FULL nội thất,6m,2,4,Không,"5,68 tỷ",32 m²,N/A,05/10/2025,"Đường Lê Đức Thọ, Phường An Hội Tây, Hồ Chí Minh"
"Cần Bán Biệt Thự Cao Thắng, Phường 5, Quận 3, Ngang 13mx18m, 4 Tầng, GÍA 80 TỶ",12m,4,6,Có,80 tỷ,240 m²,13x18m,04/10/2025,"Đường Cao Thắng, Phường Bàn Cờ, Hồ Chí Minh"
TẶNG 50 TRIỆU MỖI THÁNG CHO NGƯỜI MUA CĂN NHÀ MẶT TIỀN ĐƯỜNG TRẦN THIỆN CHÁNH QUẬN 10,12m,4,4,Không,29 tỷ,102 m²,6x17m,03/10/2025,"Đường Trần Thiện Chánh, Phường Hòa Hưng, Hồ Chí Minh"
"Bán Đất Vườn Lài,diện tích 57m2 Giá 4.3 Tỷ,Sát Gò Vấp,Chuẩn 100%",8m,N/A,N/A,Không,"4,3 tỷ",57 m²,"4x14,3m",03/10/2025,"Đường Vườn Lài, Phường An Phú Đông, Hồ Chí Minh"
"BÁN NHÀ 2 MẶT TIỀN HOÀNG HOA THÁM 13,5 X 28 CN 310M2",30m,1,1,Không,100 tỷ,310 m²,"13,5x28m",29/09/2025,"Đường Hoàng Hoa Thám, Phường Gia Định, Hồ Chí Minh"
"BÁN TÒA NHÀ MẶT TIỀN PHAN XÍCH LONG 9,25 X 30 HẦM 9 LẦU 95 TỈ",25m,9,1,Không,95 tỷ,1496 m²,"9,52x30m",29/09/2025,"Đường Phan Xích Long, Phường Cầu Kiệu, Hồ Chí Minh"
"CHÍNH CHỦ CẦN BÁN NHÀ ĐƯỜNG SỐ 16A, KP11, P BÌNH HƯNG HÒA A, QUẬN BÌNH TÂN, HCM",N/A,N/A,N/A,Không,"9,5 tỷ",136 m²,N/A,18/07/2022,"Đường Số 16A, Phường Bình Hưng Hòa, Hồ Chí Minh"
"Bán nhà ( 8 X 12 ) Lê Văn Quới Hẻm xe hơi vào nhà, 4 tầng nội thất nhập khẩu giá 7,7 tỷ.",6m,3,4,Có,"7,7 tỷ",88 m²,8x12m,07/10/2025,"Đường Lê Văn Quới, Phường Bình Tân, Hồ Chí Minh"
"số 9 50.1 m2, 1 lầu, 6 x 9 , 3tỷ3 Linh Tây Thủ Đức",3m,1,2,Không,"3,3 tỷ",50 m²,"6x8,5m",07/10/2025,"Đường số 9, Phường Linh Xuân, Hồ Chí Minh"
"Kha Vạn Cân 50.1 m2 ,1 lầu, 5 x 10 , 2.tỷ7 Linh Tây Thủ Đức",3m,1,1,Không,"2,7 tỷ",50 m²,5x10m,07/10/2025,"Đường Kha Vạn Cân, Phường Linh Xuân, Hồ Chí Minh"
"Bán gấp MT Quang Trung P10 gv, 4x20m vuông vức 3 lầu giá 21 tỷ tl, đct 50tr/th",30m,3,4,Không,21 tỷ,80 m²,4x20m,07/10/2025,"Đường Quang Trung, Phường Gò Vấp, Hồ Chí Minh"
"CƠ HỘI CUỐI SỞ HỮU NHÀ 6 TẦNG LIỀN KỀ VẠN PHÚC - VEN SÔNG SÀI GÒN, CÓ THANG MÁY, ĐƯỜNG 9M",10m,5,6,Có,"11,3 tỷ",66 m²,"4,1x16m",07/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
"Chính chủ: Nhà đúc 3.5 tấm - đường 7m sát mặt tiền QL13 - Ô tô đậu trong nhà, cần ra gấp",6m,4,4,Có,"6,8 tỷ",61 m²,"4,25x15m",07/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
